yang	which
samanya	same
salurannya	the channel
salibmu	your cross
salibkanlah	crucify
salang	cross
salamlah	hello
saktimu	your power
sakti	power
sajakku	my poem
sajak	poem
sainganmu	your rival
sahutku	I replied.
sahkan	confirm
sadarilah	be aware
sabarnya	patience
rusakkanlah	destroy it
rupawan	handsome
rupamu	your appearance
rupaku	my appearance
runtuhannya	its ruins
rumit	complicated
rumahmulah	your house
rumahan	home
rugikah	is it a loss?
rubuhkan	demolish
rotilah	bread
ronta	decay
rongga	cavity
rombonganmu	your group
rombengan	rambling
rombak	remodel
rohkulah	my soul
robohlah	collapse
robeknya	torn
robekkan	tear
riwayatku	my history
rintangi	obstacle
ringkikmu	your whining
ringkikan	detail
ringkik	squeak
ringkasan	summary
ringkas	brief
ringankah	is it light
rinduku	I miss you.
ribai	scold
ribaanmu	your lap
riap	rippling
rezekimu	your sustenance
retaknya	the crack
restunya	his blessing
renungkanlah	think about it
renunganku	my thoughts
rente	rent
rentangkan	spread out
rendam	soak
rendahkan	lower
renai	renaissance
remukkanlah	crush it
rempahnya	the spice
rempahku	my spice
remasnya	squeeze it
remas	squeeze
remajaku	my teenager
relalah	be willing
relakanlah	let it go
relakan	let go
rekakannya	his design
rekakan	make up
redamnya	mute it
receh	change
rebutan	competition
rebananya	the tambourine
rebahkanlah	knock it down
reaksi	reaction
rayuannya	his appeal
rayanya	Eid al-Fitr
rawatlah	take care
rawanya	the swamp
raut	look
raunglah	roar
raungan	roar
ratunya	the queen
ratapnya	his lament
rasulmu	your messenger
rasakanlah	feel it
rapinya	neat
rapih	neat
ranum	ripe
rantingmu	your branch
rantingku	my branch
ranjangmu	your bed
rangsang	stimulate
rangkup	cover
rangkap	duplicate
rangkaikan	connect
ranggas	strong
rampoki	rob
rampok	rob
rampasi	plunder
ramalkanlah	predict
ramahnya	his friendliness
rakyatkulah	my people
rajani	king
rajakah	king
rahimku	my womb
raganya	his body
rabalah	touch
putuskanlah	decide
putriku	my daughter
putik	bud
puterinya	his daughter
putarlah	turn it
putarilah	turn it
putarbalikkan	turn around
putarannya	the rotation
putaran	rotation
pusaran	whirlpool
pusar	navel
punyaku	mine
pungutannya	the collection
pungutan	collection
pundimu	your wallet
puncanya	the cause
puncakmu	your peak
punahkan	exterminate
pukulkanlah	hit it
pujanggamu	your poet
pujaanku	my idol
puingmu	your ruins
pudarnya	fade
pudarlah	fade away
puaslah	be satisfied
puaskah	Are you satisfied?
puasanya	his fasting
puasamu	your fasting
puakmu	your tribe
proklamasi	proclamation
profeteuete	prophet
pribadimu	your personality
prajuritku	my soldier
potongnyalah	cut it
poneras	press
pondoknya	the hut
pondamennya	the foundation
pon	pound
polong	pod
polon	polonium
politis	political
politik	politics
pojok	corner
pohonkanlah	apply
pohonanmu	your tree
plesternya	the plaster
planit	planet
plang	signboard
piutangmu	your debt
piramida	pyramid
pipinya	his cheek
pipih	flat
pinjamannya	the loan
pinjam	borrow
pinggirnyalah	the edge
pimpinlah	lead
pimpin	lead
pilunya	his sorrow
pilihanku	my choice
pikullah	pick it up
piket	picket
pijaran	incandescent
pijar	incandescent
piaraanku	my pet
piara	pet
piagam	charter
pezina	adulterer
petrus	peter
petinya	the box
petikan	quote
pestamu	your party
pesemaian	seeding
pesankanlah	order it
pes	paste
perzinahanmu	your adultery
perwiramu	your officer
perwalian	guardianship
perutmulah	your stomach
perusakan	destruction
perusahaannya	his company
perundingan	consultation
pertumbuhannya	its growth
pertobatannya	his repentance
pertimbangkan	consider
pertimbangannya	his consideration
pertimbanganmu	your consideration
pertempurannya	the battle
perteduhannya	its shade
perteduhanmu	your shelter
pertarungannya	the fight
pertanyaanmu	your question
pertanyaanku	my question
pertambahan	increase
pertamanya	first
pertalian	relationship
pertahananmu	your defense
persyaratan	requirements
persoalannya	the question
persoalanmu	your question
persoalanku	my question
persisnya	exactly
persiapkan	prepare
persepuluhannya	his tenth
persenjataan	armament
persengketaan	dispute
persendiannya	the joints
persemaian	nursery
perselisihanmu	your disagreement
persekongkolannya	the conspiracy
persekongkolan	conspiracy
persamaannya	the similarity
persalinan	childbirth
persalahkan	blame
persahabatanmu	your friendship
perpuluhan	decimal
pernyataannya	his statement
perniagaanmu	your business
perniagaan	business
pernaungan	shelter
permisi	excuse me
permintaannyalah	it is his request
permanen	permanent
permandian	bathing
permalukan	humiliation
permadaninya	the carpet
perluaslah	expand
perlakuannya	his treatment
perkutut	turtledove
perkosalah	dormitory
perkosaan	rape
perkosa	rape
perkiraan	estimate
perkenalan	introduction
perkarakanlah	make it happen
perkamen	parchment
perkabunganmu	your mourning
perjamuannya	his/her banquet
periukmu	your pot
perintahmukah	command
peringatilah	remind me
peringatannya	the warning
perincian	details
perilakumu	your behavior
perilakuku	my behavior
perikop	passage
perikemanusiaan	humanity
perihalmu	about you
peribut	quarrel
peribahasaku	my proverb
peribadatan	worship
periang	cheerful
perhubungan	relationship
perhitungkan	calculate
perhinggaan	border
perhimpunan	assembly
pergunjingan	gossip
pergumulannya	his struggle
pergimu	you go
pergikah	are you going?
pergelanganmu	your wrist
pergaulan	association
peresmiannya	its inauguration
perendahan	humiliation
perenang	swimmer
perempat	quarter
perekatnya	the adhesive
peredarannya	its circulation
peredaran	circulation
perduli	care
perdukunan	shamanism
perdengarkan	listen
perdarahan	bleeding
perdana	premier
perdamaianmu	your peace
percikkanlah	splash it
percideraan	injury
percayakanlah	trust me
perburuannya	the hunt
perbesarlah	enlarge
perbedaannya	the difference
perbaruilah	update
perbandingan	comparison
perbaiki	fix
perawat	nurse
perasan	noticed
perasaannya	his feelings
perasaanmu	your feelings
perasaanku	my feelings
peras	squeeze
perangsang	stimulant
peranginannya	its origin
perangilah	fight
perangi	fight
peranakkanlah	give birth
peranakan	Peranakan
perampasnya	the usurper
perampas	hijacker
penyusu	breastfeeding
penyurat	writer
penyunatan	circumcision
penyulaan	ignition
penyingkap	revealer
penyesatannya	his/her misguidance
penyertaan	participation
penyergapan	ambush
penyerangannya	his attack
penyerangan	attack
penyelesaian	solution
penyelamatanmu	your salvation
penyekat	blocker
penyebarannya	its spread
penyebabnya	the cause
penyaringan	screening
penyampaian	delivery
penuturan	speech
penuntutan	prosecution
penunjang	support
penumpasan	suppression
penumbukan	beating
penuhnya	full
penudungnya	the veil
penuduhnya	the accuser
penuduhku	my accuser
penuangan	casting
pentingkanlah	make it important
pentingkan	give importance to
pentahbisannya	his inauguration
pentahbisanmu	your ordination
penonton	audience
penolakan	rejection
penobatan	coronation
penjajah	colonizer
peniti	pin
penistaanmu	your blasphemy
penista	blasphemer
penipuannya	his deception
peningkatan	improvement
peninggian	elevation
penindasku	my oppressor
penindasannya	his oppression
penimbang	scale
penimbaan	extraction
penikammu	your stabber
penikam	stabber
pengutusnya	his/her messenger
pengutuk	curser
pengusutan	investigation
pengusungan	stretcher
pengusahanya	the entrepreneur
pengurusan	management
pengurangan	reduction
pengungsiannya	his/her evacuation
pengungkapan	disclosure
pengumpat	slanderer
pengukir	sculptor
pengujian	testing
pengudusanmu	your sanctification
penguasalah	be the ruler
pengrajinnya	the craftsman
pengokohan	reinforcement
pengobatannya	the treatment
penglima	commander
pengkhususan	specialization
pengkhotbah	preacher
pengkhianatannya	his betrayal
pengisi	filler
pengiringku	my escort
pengiriknya	the threshing machine
pengirikankah	threshing
pengintaimu	your spy
pengintaianku	my surveillance
pengikutku	my follower
pengikatnya	the binding
pengikatmu	your binding
pengikatan	binding
penghinaannya	his insult
penghidupan	livelihood
penghasilannya	his income
penghargaanku	my appreciation
penghangat	heater
penghancurannya	its destruction
penghambat	inhibitor
penghalau	repellent
penghajar	beater
penghadangannya	the obstacle
penggolongan	classification
penggiling	grinder
penggerebekan	raid
penggemar	fan
penggarongannya	the robbery
penggantungan	suspension
penggantiku	my replacement
pengganjaran	reward
pengesahannya	its confirmation
pengertianmukah	facial expression
pengerjaan	workmanship
pengeretan	grinding
pengepungmu	your besieger
pengepungannya	the siege
pengepunganmu	your siege
pengepung	besieger
pengendalian	handling
pengendali	operator
pengenalmu	your ID
pengenalanmu	your introduction
pengemudinya	the driver
pengelola	manager
pengejarku	my pursuer
pengecam	identifier
pengawet	preservative
pengawasnya	his supervisor
pengawasanmu	your supervision
pengawalmu	your bodyguard
pengawalanku	my bodyguard
pengaturnya	the organizer
pengasuhmu	your nanny
pengasihan	compassion
pengasah	sharpener
pengapitnya	the clamp
penganugerahan	award
penganjurmu	your organizer
pengananku	my snack
pengamatanmu	your observation
pengamatan	observation
pengalamanmu	your experience
pengakuanmu	your confession
pengagungan	glorification
pengadunya	the complainant
pengaduhannya	his complaint
pengaduannya	his complaint
pengadu	complainant
pengadangan	obstruction
pengabdian	devotion
penerus	successor
penerkaman	recording
penerkam	recorder
penerimaan	reception
penerangnya	the explanation
penenung	fortune teller
penentu	determinant
penentangnya	his opponent
penempatan	placement
penelitian	research
penelaah	reviewer
penebahanmu	your blessing
penebahan	threshing
pendurhakaan	rebellion
pendukungnya	his/her supporters
pendosa	sinner
pendorong	pusher
pendopo	pavilion
pendobraknya	the crasher
pendobrakan	crash
pendirianku	my position
pendeta	priest
penderitaanlah	suffering
pendengarmu	your listeners
pendengaranku	my hearing
pendayung	rower
pendapatanku	my income
pendakwaan	prosecution
pendaftarannya	its registration
pencoba	tempter
penciuman	smell
pencintamu	your lover
pencinta	lover
pencemaran	pollution
pencariannya	his search
pencampurannya	the mixing
pencampur	mixer
penawannya	his/her captor
penatlah	tired
penata	stylist
penat	tired
penanya	questioner
penantangnya	his challenger
penangkis	repellent
penangkapan	arrest
penangisan	weeping
penanggalanmu	your date
penanggalan	dating
penandusan	barrenness
penanda	marker
penanaman	cultivation
penampung	container
penampakkan	appearance
penahannya	the restraint
penahanan	detention
penadah	container
pemurnian	purification
pemukulan	beating
pemuji	praiser
pemujanya	his worshiper
pemujamu	your worshiper
pemuja	worshiper
pemudiku	my girl
pemudamu	your youth
pemisahnya	the separator
pemintal	spinner
peminta	requester
pemilikmu	your owner
pemilihan	election
pemikul	porter
pemikat	charmer
pemerintahanmu	your government
pemerasku	my blackmailer
pemerahanmu	your milking
pemenjaraanku	my imprisonment
pemenjaraan	imprisonment
pemburuan	hunting
pembuluh	vessel
pembukaan	opening
pembuka	opener
pembuangannya	his removal
pemboros	spendthrift
pembinasamu	your builder
pembicaraannya	his/her conversation
pembicaraanmu	your talk
pemberitahuannya	the notification
pemberitaannya	the news
pemberitaanmu	your news
pemberitaanku	my news
pemberhentian	termination
pemberanimu	your bravery
pemberang	attacker
pembentuknya	its shaper
pembentukan	formation
pembelamu	your defender
pembedaan	distinction
pembebat	plasterer
pembebas	liberator
pembayaranmu	your payment
pembatalan	cancellation
pembaringanku	my bed
pembantuku	my assistant
pembantai	massacre
pembantahan	refutation
pembantah	objector
pembaktian	dedication
pembagiannya	the division
pembagi	divider
pemazmur	psalmist
pemasangannya	its installation
pemasak	cook
pemapan	billboard
pemantera	watchman
pemangkasmu	your trimmer
pemancungan	peak
pemakainya	wearer
pemakaiannya	its use
pemadam	extinguisher
pelukanmu	your hug
pelukan	hug
pelinggam	slang
pelindungnya	his protector
peliharaanmu	your pet
peleter	plasterer
peletakkan	placing
pelayar	browser
pelakunya	the perpetrator
pelajarannya	the lesson
pelacuranmu	your prostitution
pekun	poor
pekudaan	poverty
pekikan	scream
pekan	town
pekabaran	message
peganganku	my grip
pedukunan	shamanism
pedoman	guidelines
pecahkanlah	break it
pecahannya	the fraction
payanya	the swamp
pauk	pacifier
patunglah	statue
patuhi	obey
patrian	patriarch
patokmu	your stake
patokan	benchmark
pasunya	the vase
pastikan	make sure
pasirlah	sand
pasarmu	your market
pasarkan	market
pasaranmu	your market
paruh	beak
parangnya	the machete
parangmu	your machete
parakaleo	paracaleo
parak	parakeet
paparkan	display
pantat	ass
panjiku	my banner
panjati	climb
panjangkanlah	extend it
panjangkan	extend
pangkatku	my rank
pangkasmu	your cut
pangkas	trim
pangkalnya	the beginning
pangkalanmu	your base
panggilannya	his call
pangganglah	roast it
panganan	food
panenku	my harvest
pandangmu	look at you
pandainya	clever
pancing	fishing rod
pancangkanlah	stick it
pancaindera	five senses
palunganmu	your manger
palsulah	fake
palingkanlah	turn it around
palemnya	his palm
pakukan	nail
paksanya	force it
paksalah	force it
pakannya	feed it
pakal	pacak
pakaikan	wear
pak	sir
pahatlah	chisel
pahatanku	my sculpture
padian	rice
padanyalah	it is him
padakulah	to me
ototnya	his muscles
otoritas	authority
otak	brain
ons	ounce
oni	this
onggokkanlah	stack it
onggokan	pile
omongannya	his/her speech
ombakmu	your waves
oloknya	funny
oleng	sway
obrolan	chat
o	oh
nyumpahi	swear
nyonyamu	your mistress
nyonyaku	my lady
nyobeknya	tear it
nyerukan	call out
nyerinya	the pain
nyawanyalah	his life
nyanyiannya	his singing
nyalalah	light up
nyalakanlah	turn it on
nusuk	stab
nubuatmu	your prophecy
nubuatkanlah	prophesy
nodai	stain
nisan	tombstone
ninggikan	elevate
nila	indigo
nikahnya	his marriage
nikahi	marry
niaga	business
ngoyaknya	like it
ngoyakkan	tear
ngetok	knock
ngertakkan	to crack
ngepulkan	to blow
ngepang	braid
ngedipkan	wink
ngantuk	sleepy
netakkan	emphasize
nengok	look
nenekku	my grandmother
nekatnya	his/her courage
negarawan	statesman
negaranya	his country
negaramu	your country
nazarkan	vow
nazaret	Nazareth
naunganku	my shade
nasional	national
napnya	his/her
napasmu	your breath
nanya	ask
nangis	cry
nanah	pus
namamulah	your name is
namakanlah	name it
nakutinya	scare him/her
najisnya	his/her dirt
najiskah	is it dirty?
naiki	climb
nafsuku	my desire
nafasku	my breath
mutiaramu	your pearl
mutar	twist
musuhkulah	my enemy
musuhi	enemy
musuhan	hostility
musiknya	the music
murtadmu	your apostasy
murnilah	be pure
murnikan	purify
murkamu	your anger
murkakah	are you angry?
murkai	angry
murai	magpie
murahnya	cheapness
murahan	cheap
mupakatnya	the agreement
mundar	slow down
munculnya	emergence
mulutmulah	your mouth
mulialah	be noble
mulainya	the beginning
mujinya	praise him/her
mudi	steering wheel
muatkanlah	load it
muatilah	fit it
muatanmu	your load
muakkah	disgusted
muai	open
moyangmulah	your ancestors
modalmu	your capital
misi	mission
misalkan	for example
misah	separate
miringkan	tilt
minyakku	my oil
minummu	your drink
minumkanlah	drink it
mintai	ask
minggirlah	step aside
mindahkannya	move it
mimpikan	dream
mimpian	dream
milikilah	have it
mikirkan	think about
mikir	think
mihak	side
mezbahlah	altar
mezbahku	my altar
mewartakannya	publicize it
metretas	hacked
meteran	meter
meteraimu	your seal
metah	meta
mestikah	must
mestika	must
mesbah	altar
merta	immediately
merongrong	undermine
merogoh	reach
meriwayatkan	narrate
merintihlah	moan
meringkukkan	curl up
meringankannya	lighten it
merindu	miss
meretakkan	crack
meresmikannya	inaugurate it
merenggangkan	to stretch
merendahkannya	to humiliate him
meremukkannya	crush it
meremasnya	squeeze it
meregangkan	stretch
meredup	dim
merawatinya	take care of it
merawati	take care of
meraupnya	scoop it up
meraungnya	roar it
meratakannya	flatten it
meratakanmu	flatten you
merata	evenly
merasuki	to enter
merapatkan	close
merantingi	to chain
merampokmu	rob you
merampasinya	to seize it
merambatkan	propagate
meramal	predict
merajalelanya	rampant
merajakan	reign
merajai	dominate
merajah	to invade
meraihnya	grab it
merahnya	its red
meragukannya	doubt it
merabitkan	to dispute
merabamu	groping you
mepersalahkan	blame
mené	where
menyusutlah	shrink
menyusutkan	shrink
menyusupkan	infiltrate
menyusuinya	breastfeed him
menyusuimu	breastfeed you
menyusahkanmu	bother you
menyuruhku	told me
menyurat	correspondence
menyuramkan	to darken
menyungguhkan	to serve
menyunatnya	circumcise him
menyunatkannya	circumcise him
menyunati	circumcise
menyulakannya	make it difficult
menyulakan	to light up
menyukat	measure
menyuguhkan	present
menyuguhi	serve
menyudahi	finish
menyuburkannya	fertilize it
menyuarakan	voice
menyuapi	to feed
menyorakinya	cheer him on
menyokongnya	support it
menyodorkan	to offer
menyisih	set aside
menyingsingnya	dawn
menyingkirkannya	get rid of it
menyingkapkannya	reveal it
menyinarimu	shine on you
menyilangkan	cross
menyiarkannya	broadcast it
menyewakannya	rent it out
menyesalkan	regret
menyesalinya	regret it
menyesakkannya	suffocate him
menyerukannya	call him/her
menyeru	call
menyerongnya	diagonally
menyeringai	grin
menyerbakkan	spread
menyerangku	attack me
menyerangi	attack
menyeramkan	creepy
menyerakkannya	scatter it
menyentuhkannya	touch it
menyengsarakan	painful
menyenangi	enjoy
menyembahku	worship me
menyematkan	pin
menyemat	pin
menyelubungkan	envelop
menyelimutinya	cover it
menyelimutimu	envelop you
menyelidiknya	research it
menyelewengkan	distort
menyelenggarakannya	organize it
menyekat	block
menyegelnya	seal it
menyegel	seal
menyayangkannya	pity it
menyayanginya	love him/her
menyatupadukan	to unite
menyatukannya	unite it
menyarungkannya	put it on
menyarungkan	to cover
menyarankan	suggest
menyaputnya	cover it up
menyapukannya	apply it
menyapanya	greet him/her
menyanjungnya	flatter him/her
menyandera	hostage
menyambutku	welcome me
menyambungkan	connect
menyalut	to coat
menyalurkannya	channel it
menyalin	copy
menyalamnya	greet him/her
menyajikannya	present it
menyadarkannya	make him aware
menurunkanku	drop me off
menuntunmu	leading you
menunggunya	waiting for him
menungging	to refuse
menunggangbalikkannya	turn it upside down
menundukkannya	subdue him
menunduk	bow down
menumpulkan	dull
menumpuknya	pile it up
menumpukkan	pile up
menukik	dive
menujum	to drink
menudungnya	cover it
menubuatkannya	predict it
menubruk	to attack
menuailah	harvest
mentobatkan	to convert
menterlantarkan	abandon
menterinya	his minister
menteriku	my minister
mentari	sun
mensiang	noon
menontonnya	watch it
menolakmu	reject you
menolakkan	reject
menjungkirbalikkannya	turn it upside down
menjungkir	topple over
menjorok	indent
menjinjing	to carry
menjinakkannya	tame it
menjilatnya	lick it
menjilati	lick
menjernihkan	clear up
menjeritlah	scream
menjeratnya	ensnare him
menjeratmu	ensnaring you
menjenguklah	visit
menjemukan	boring
menjeling	to stare
menjebloskannya	throw it in the trash
menjebaknya	trap him
menjangan	deer
menjaminnya	guarantee it
menjamahmu	touch you
menjahati	to be angry
menjagainya	take care of it
menirunya	imitate him
menipis	thin
meninggikannya	raise it
meninggikanmu	elevate you
meninggalkanku	leave me
menindihnya	overwrite it
menindasmu	oppress you
menimbanya	to gain it
menimbangnya	consider it
menimbakan	to shoot
menikamkannya	stab him/her
menikahkan	marry
meniaraplah	lie down
meniadakannya	cancel it
mengutukinya	curse him/her
mengusapnya	rub it
mengusap	to stroke
mengusahakannya	work on it
mengurutnya	massage it
menguruskeringkan	take care of drying
mengurungnya	lock him up
menguntungkannya	profitable
menguntungkanmu	to your advantage
mengunjurkan	project
mengunjungiku	visit me
mengungkit	leverage
mengungguli	surpass
mengunggis	to drag
mengundur	retreat
mengundangnya	invite him/her
mengumumkannya	announce it
mengumpamakannya	liken it to
mengumbar	indulge
mengumandangkan	to announce
mengulitinya	skin it
mengulang	repeat
mengukuhkannya	strengthen it
mengukirnya	carve it
mengujiku	test me
mengubahmu	change you
menguasaimu	control you
menguangkannya	cash it out
menguakkan	yawn
menguak	to dig
mengotorkannya	dirty it
mengoreksimu	correcting you
mengorek	digging
mengorbankannya	sacrifice it
mengombak	to raise
mengoceh	babbling
mengobrak	break up
mengobatinya	treat it
mengkritik	criticize
mengkhianatinya	betray him/her
mengkhayalkan	fantasize
mengkhamirkan	ferment
mengkhamiri	leaven
mengisahkannya	tell it
mengisahkan	tell a story
mengiris	slice
mengiringiku	accompany me
mengiri	follow
mengirap	to meet
mengipas	fan
mengintainya	stalking him
mengintailah	lurk
menginsyafi	to realize
menginsafkan	to convince
menginsafinya	to realize it
mengingkarinya	deny it
mengingatmu	remembering you
mengimpor	import
mengimpitkan	compress
mengimbanginya	balance it
mengimbangi	balance
mengilhamimu	inspire you
mengilau	shine
mengilang	to manufacture
mengikutnya	follow him
mengigau	delirious
mengidaplah	suffer from
mengidamkan	yearn for
mengibaskan	shake
menghutangkan	lend
menghutangi	lend
menghutang	owe
menghukumku	punish me
menghujankan	to rain
menghormat	respect
menghitungkan	calculate
menghitamkan	blacken
menghimpunkannya	gather it
menghiasmu	decorate you
menghiasinya	decorate it
menghembusnya	blow it out
menghematnya	save it
menghebat	to become great
menghayatinya	appreciate it
menghauskannya	to destroy it
menghasratkan	wish
mengharuskannya	requires it
mengharubirukan	disturbing
mengharu	scary
menghargaimu	appreciate you
menghantuiku	haunts me
menghantui	haunt
menghantarkan	send
menghantar	send
menghancurluluhkannya	destroy it
menghamilkan	impregnate
menghambatnya	hinder it
menghambakan	to enslave
menghalaunya	drive him away
menghalanginya	prevent it
menghakimiku	judge me
menggusarkan	to annoy
mengguruh	thunder
menggulingkannya	overthrow it
menggoyangbangkitkan	to shake up
menggoyang	shake
menggoyahkannya	shake it
menggosokkan	rub
menggorok	slit
menggonggong	barking
menggolongkan	classify
menggodanya	tease him/her
menggodamu	to tease you
menggodai	tease
menggocoh	to stir
menggisarnya	grind it
menggetar	tremble
menggesek	swipe
menggerung	to scold
menggersangkan	frightening
menggeramlah	growl
menggerak	move
menggendongnya	carrying him/her
menggenanginya	flood it
menggenang	stagnate
menggemetarkan	shivering
menggembar	to promote
menggemakannya	echo it
menggelinding	rolling
menggeliatlah	squirm
menggelepar	flounder
menggelegak	bubbling
menggeledahnya	search it
menggelar	to hold
menggasak	to rub
menggarisinya	scratch it
menggaris	underline
menggarapnya	work on it
menggarap	to work on
menggapai	reach
menggaok	to crow
menggantungkannya	hang it
menggangguku	bother me
mengganggap	assume
menggandarnya	carry it
menggambarkannya	describe it
menggambar	drawing
menggaji	employ
menggadaikan	mortgage
mengetuknya	knock on it
mengetengahi	mediate
mengesankan	impressive
mengerutkan	to wrinkle
mengerumitnya	wrinkle it
mengeruhkannya	to cloud it
mengertikah	do you understand
mengertakkan	to frown
mengeroyoknya	to gang up on him
mengeroyok	to mob
mengeraskannya	harden it
mengeras	harden
mengepang	braid
mengepakkan	flap
mengenyangkannya	fill it up
mengenyam	to eat
mengentalkan	thicken
mengental	thicken
mengentakkan	to knock
mengendalikannya	control it
mengenangkan	to remember
mengenalmu	know you
mengenalinya	recognize it
mengenainya	about it
mengemukakannya	bring it up
mengempis	deflate
mengempaskan	to collapse
mengempang	to clamp
mengembusi	inhale
mengembangkannya	develop it
mengemasi	to pack
mengelupas	peel
mengeluhnya	complain about it
mengeluhkan	complain
mengelu	yawn
mengelikir	to wander
mengelantang	bleach
mengejutkanmu	surprise you
mengejikan	disgusting
mengejekmu	mocking you
mengejarmu	chasing you
mengedip	wink
mengedarinya	surround it
mengedari	to drive
mengedangkan	to entertain
mengecupnya	kiss him/her
mengecup	kiss
mengecualikan	exclude
mengecilkan	shrink
mengebas	numb
mengawalnya	control it
mengaso	to rest
mengasinkannya	salt it
mengasahkan	confirm
mengaruniainya	bestow it
mengaruniai	bestow
mengartikan	to interpret
mengarang	compose
mengaraknya	parade it
mengapuri	whitewash
mengapani	why
mengapalah	why?
mengantuklah	sleepy
menganjur	organize
menganiayamu	persecute you
menganggarkan	estimate
mengandangnya	carry it
mengancamnya	threaten him
mengancammu	threaten you
menganan	to eat
mengampunilah	forgive
mengambilkan	take
mengamankannya	secure it
mengalungkannya	to hang it
mengalungkan	to adorn
mengalas	to cover
mengalangi	obstruct
mengalang	to obstruct
mengakhirinya	end it
mengajukannya	submit it
mengajaknya	invite him/her
mengairinya	water it
mengadukanmu	complain about you
mengacung	pointing
mengacu	refer to
mengacaubalaukannya	mess it up
mengabaikanmu	ignoring you
meneteskan	drip
menertawainya	laugh at him
menertawai	laugh
menerkamnya	pounce on it
menerimamu	accept you
menerimalah	accept
menerapkannya	apply it
menenunnya	weave it
menengokmu	looking at you
menengking	scold
menenggelamkannya	drown it
menengah	secondary
menemuimu	meet you
menempelak	slap
menembusnya	penetrate it
menelusuri	browse
menelanmu	swallow you
menelanjanginya	strip it naked
menekuk	bend
menekannya	press it
menekankannya	emphasize it
meneguk	sip
meneguhkannya	confirm it
meneduhi	shade
menebarkannya	spread it
mendorongnya	push it
mendoronglah	push
mendiktekannya	dictate it
mendiktekan	dictate
mendewasakan	mature
mendesakmu	urge you
mendesakkan	urge
menderum	drumming
mendengus	snort
mendengking	squeal
mendenging	buzzing
mendekatkannya	bring it closer
mendekatiku	come near me
mendekapnya	hug him/her
mendegilkan	stiffen
mendaratlah	land
mendandanimu	dressing you up
mendampingiku	accompany me
mendahuluimu	ahead of you
mendaftar	register
mencurat	to slurp
mencukurkan	shave
mencopoti	to remove
mencolok	conspicuous
mencobainya	try it
mencipta	create
mencinta	to love
mencincangnya	chop it
menciderainya	hurt him/her
mencengkeram	grasping
mencenderungkan	tend
mencemplungkan	to immerse
mencelupnya	dip it
mencelikkan	to enlighten
mencelamu	scold you
mencekau	reach
mencegat	intercept
mencederai	injure
mencatut	profiteering
mencatnya	paint it
mencat	paint
mencariku	looking for me
mencaplok	annex
mencangkulnya	hoe it
mencangkuli	hoe
mencangkokkannya	graft it
mencangkokkan	graft
mencanangkan	to declare
mencambukmu	whip you
mencakup	includes
mencakar	to scratch
mencairkan	melt
mencadangkan	suggest
mencacah	to count
mencabuti	uproot
menazarkan	vow
menawar	bid
menawannya	charming him/her
menata	organize
menasihatinya	advise him/her
menanya	ask
menangkisnya	repel it
menangiskan	make me cry
menanggungkannya	bear it
menanggapnya	accept it
menanduskannya	to barren it
menanamkan	to instill
menampinya	winnow it
menampilkan	display
menampiknya	reject it
menampik	reject
menamparnya	slap him/her
menampaknya	see it
menampakan	appear
menambang	mining
menambalnya	patch it up
menambalkannya	patch it up
menambahkannya	add it
menaikinya	ride it
menahu	know
menahani	hold back
menagihnya	charge it
menadahkannya	take it
menadah	to collect
menaburkannya	sprinkle it
memutus	decide
memutihkan	whiten
memutarbalikkannya	twist it
memurkai	anger
memupukinya	nurture it
memuntir	twist
memuntahkannya	vomit it
memungkinkannya	make it possible
memunculkan	bring up
memuliakannya	glorify him
memudahkan	facilitate
memuatnya	load it
mempunya	have
memprotesnya	protest it
memprotes	protest
mempromosikan	promote
memproklamasikan	proclaim
memprihatinkan	worrying
mempertontonkan	to show
mempertinggi	heighten
mempertajam	sharpen
mempersolek	make up
mempersemarak	brighten up
mempersatukannya	unite it
mempersalahkannya	blame him/her
mempermalukannya	to embarrass him
mempermainkannya	toying with him
memperluasnya	expand it
memperlihatkannya	show it
memperlengkapinya	equip it
memperkenankannya	allow it
memperkenalkannya	introduce it
memperkembangkan	develop
memperkecil	reduce
memperkayakan	enrich
memperkatakan	to talk about
memperkarakan	to prosecute
memperjelas	clarify
memperindahnya	beautify it
mempeributkan	to argue
memperhidup	revive
memperhadapkan	confront
memperelok	beautify
memperdebatkan	debate
memperdayakannya	deceive him/her
memperdahsyat	terrifying
mempercayaimu	trust you
memperbudaknya	enslave him
memperbudakkan	enslave
memperbolehkannya	allow it
memperberat	aggravate
memperbanyaknya	multiply it
memperbandingkan	compare
memperagakan	demonstrate
mempengaruhimu	affect you
mempekerjakannya	hire him/her
mempedulikanmu	care about you
memohonkannya	apply for it
memiutangi	lend
memisahkannya	separate it
meminumkan	to drink
memindah	move
meminangnya	propose to her
memimpinnya	lead it
memimpinku	lead me
memimpikan	dreaming
memilukan	heartbreaking
memilihmu	choose you
memikulkannya	carry it
memijat	massage
memijaknya	step on it
memiara	to care for
memfitnahkan	slander
memewahkan	luxurious
memetiknya	quote it
memeterai	seal
memesan	order
memerintahnya	rule it
memeriksamu	check you
memeriahkan	enliven
memercikinya	sprinkle it
memercayai	believe
memenuhkan	fulfill
memenjarakan	imprison
memendamkan	conceal
memencilkan	isolate
memencarkan	scatter
memelanainya	endure it
memelanai	to endure
memekiklah	scream
memekatkan	thicken
memejamkan	close
memegangmu	holding you
memegah	to raise
