'tween	在中間
horse blanket	鞍褥
horse brier	荊棘
horse cavalry	騎兵
horse chestnut	七葉樹之類
horse fancier	騎馬者
horse fly	馬蠅
horse radish	山葵
horse tick	馬蠅
horse wrangler	口角者
horseback rider	騎馬者
horseback riding	乘騎
horsemeat	馬肉
horseradish root	山葵
horseshit	胡說
horseweed	飛蓬
hose down	水管
hosepipe	水管
hospital attendant	傳令兵
hospital care	醫院收容
hospital ward	守衛
hospitalisation	醫院收容
hospitalise	就醫
hosteller	旅館老板
hostile expedition	遠征
hostilely	好戰地
hot-tempered	易怒的
hot-water bottle	熱水袋
hot and bothered	激動不安的
hot chocolate	可可粉
hot flash	沖洗
hot pants	熱烈
hot pot	馬鈴薯和牛羊肉合燉的菜
hot toddy	棕櫚汁
hot up	熱
hotcake	薄烤餅
hotdog	熱狗
hotel manager	旅館老板
hotelman	旅館老板
hotspot	麻煩地點
houdah	象轎
hoummos	腐殖質#腐質土壤
hound dog	獵犬
houri	女神
house-train	使習慣家居
house-trained	管教好的
house agent	房地產經紀人
house decorator	室內設計家
house finch	朱胸朱頂雀
house fly	家蠅
house guest	在家過夜之客人
house husband	家庭主夫
house of ill repute	妓院
house of prostitution	妓院
house painting	畫
house servant	僕人
house trailer	追蹤者
household arts	家政學
housewrecker	侵入家宅者
how-do-you-do	喂
howler monkey	咆哮者
hoy	駁船
HP	馬力
hr	小時
huaraches	革條幫平底涼鞋
hubbly-bubbly	水煙筒
huffishness	不高興
hug drug	狂喜
hugger-mugger	無秩序的
hugging	接吻的
huitre	牡蠣
hula-hula	呼拉圈舞
hulky	笨重的
hullo	喂
human-centered	人類學者
human-centred	人類學者
human action	行為
human activity	行為
human beings	世界
human body	身體
human death	不幸
human dynamo	發電所
human ecology	人口統計學
human elbow	手肘
human face	臉
human foot	腳
human knee	膝
human relationship	關係
humanisation	人類化
humanise	賦予人性
humanistic discipline	文科
humanities	文科
humanlike	擬人的
humans	世界
humble plant	鳳仙花
humblebee	熊蜂
humbled	壞掉的
humeral veil	面紗
humidness	濕氣
humiliated	壞掉的
humming	嗡嗡聲
hummus	腐殖質#腐質土壤
humoring	沈溺
humorousness	詼諧
humour	脾氣
humourist	滑稽者
humourlessly	缺乏幽默感地
humourous	富幽默感的
humous	腐殖質#腐質土壤
humpback whale	駝背
humped	駝背的
Humulus lupulus	蔓
hunch forward	預感
hunch over	預感
hunched	彎曲的
hundred-percenter	盲目的愛國者
Hungarian goulash	菜燉牛肉
hungriness	餓
hunker down	蹲
hunky-dory	罰金
hunt club	狩獵
hunting expedition	戰役
hunting licence	狩獵許可證
hunting license	狩獵許可證
hunting lodge	小屋
hunting permit	狩獵許可證
hunting watch	獵人
hurly burly	擾亂
hurricane deck	散步甲板
hurricane roof	散步甲板
hurriedness	匆忙
hurrying	迅速
hurting	痛苦
hush-hush	秘密的
hush up	石灰水
hushed	屈服的
hushing	噓聲
husking	剝光
hutzpah	厚臉皮
Hyacinthoides nonscripta	藍鐘花
hyaena	土狼
hyalinisation	透明樣變化
hyaloid membrane	玻璃狀的
Hyazyme	透明質酸酵素
hybrid vigor	雜種優勢
hybridisation	雜交
hybridise	雜種
hybridizing	雜交
hydatid disease	包蟲病
hydatidosis	包蟲病
Hydnocarpus kurzii	大風子樹
hydrated	含水的
hydrated lime	酸橙樹
hydrated oxide	氫氧化物
hydraulicly	通過水壓
Hydrobates pelagicus	一種小海燕
hydrocephaly	腦水腫
Hydrocortone	氫羥腎上腺皮質素
hydrogen carbonate	重碳酸鹽
hydrographical	與水道測量有關的
hydrometric	重量的
hydrometry	重量測定
hydrophyte	水生植物
hydrophytic plant	水生植物
hydrops	浮腫
hydroxybenzene	苯酚
hydroxyl group	氫氧根
hydroxyl radical	氫氧根
hygienise	對...作衛生處理
hygienize	對...作衛生處理
Hylobates lar	長臂猿
hymeneals	婚禮
hymenopter	膜翅目昆蟲
hymenopterous insect	膜翅目昆蟲
hymie	猶太人
hymnary	讚美詩集
hyoid bone	舌骨
Hyoscyamus niger	天仙子
hyperbolically	誇張地
hyperbolise	誇大的敘述
hyperbolize	誇大的敘述
hypercalcaemia	血鈣過多
hypercarbia	血碳酸過多症
hypercholesteremia	血膽脂醇過多
hyperglycaemia	血糖過高症
hyperidrosis	多汗
hypermenorrhea	月經過多
hypermetropy	遠視
hyperpiesis	血壓過高
hypersensitised	極討厭的
hypersensitized	極討厭的
Hypertensin	血管緊縮素
hypertext mark-up language	超文字標記語言
hyperthermy	過高熱
hypertonicity	張力亢進
hypertonus	張力亢進
hypnogogic	催眠劑
hypnotise	施催眠術
hypnotised	著迷的
hypnotiser	催眠士
hypnotized	著迷的
hypnotizer	催眠士
hypocalcaemia	血鈣過少
hypocapnia	血液二氧化碳缺乏
hypocorism	昵稱
hypoglossal nerve	舌下的
hypoglycaemia	血糖過低
hypoglycaemic	血糖過低的
hypognathous	下巴向前突出的
hyponym	使居下位
hyponymy	次級地位
hypophysectomise	切除垂體
hypostasis of Christ	基礎
hypostatise	使實體化
hypothecate	深思
hypothesise	深思
hypothetic	推測的
hypotonia	張力減退
hypotonus	張力減退
hypovitaminosis	維他命缺乏症
hyrax	兔子
Hyssopus officinalis	牛膝草
hysterical neurosis	歇斯底里症
I.Q.	智商
ib.	同一個地方
ibid.	同一個地方
ice-cream float	漂流物
ice-cream soda	漂流物
ice-cream sundae	聖代
ice-skating rink	冰
ice ax	冰斧
ice axe	冰斧
ice bear	北極熊
ice cap	冰蓋
ice chest	冷卻器
ice floe	大浮冰
ice rink	冰
ice yacht	冰上滑行船
icecream	冰淇淋
Icelandic krona	克朗克朗
icepick	碎冰錐
icing the puck	糖衣
ICU	加護病房
idealisation	理想化
idealise	使理想化
idealogue	理論家
ideate	想像
ideational	概念上的
identicalness	同一性
identifiably	可認明的
identity element	同一性
identity operator	同一性
identity parade	陣容
ideologic	觀念學的
idiomatic expression	成語
idiomatical	慣用的
idiopathic disease	自發病
idiopathic disorder	自發病
idiot box	電視
idle words	風
idling	懶惰
idol worship	偶像崇拜
idol worshiper	偶像崇拜者
idolatrously	崇拜偶像的
idolisation	崇拜
idolise	偶像化
idoliser	偶像崇拜者
idolizer	偶像崇拜者
idyl	田園曲
idyllically	田園詩的
IE	即
Ig	免疫血球素
iglu	圓頂建築
ignitible	可燃燒的
ignition interlock	聯鎖
ignition lock	鎖
ignition system	點火
ignitor	點火器
ignobleness	卑賤
ignominiousness	可恥
ignorantness	無知
ignored	忽視的
Iguana iguana	鬣蜥蜴
II	兩個
III	三
ikon	畫
Ilex decidua	熊果
Ilex paraguariensis	同伴
ill-advised	欠思慮的
ill-affected	抱不平的
ill-breeding	不禮貌
ill-chosen	笨拙的
ill-conceived	被誤導的
ill-considered	無遠見的
ill-famed	無恥的
ill-fated	不吉的
ill-favoured	醜陋的
ill-fed	營養不良的
ill-formed	不合文法的
ill-humoured	有硬殼的
ill-judged	無遠見的
ill-mannered	粗魯無禮的
ill-scented	有惡臭的
ill-shapen	畸形的
ill-smelling	有惡臭的
ill-sorted	不相容的
ill-usage	虐待
ill-used	使用過的
ill health	有病
ill humor	溫熱
ill humour	溫熱
ill luck	不幸
ill service	傷害
ill turn	傷害
ill will	敵意
illative	推理的
illegalise	歹徒
illegitimate enterprise	球拍#喧嚷
illegitimately	違法地
illiterate person	文盲
illogicalness	矛盾
illume	光
illustriousness	偉大
Ilosone	紅黴素
image breaker	偶像破壞者
image scanner	掃描器
imaginary number	想像中的
imaginativeness	想像力
imaum	阿訇
imbiber	喝的人
imbibing	喝
imbricated	使疊蓋
imbrue	使濕透
iminazole	咪唑
imitation leather	人造皮
immaturely	不成熟的
immatureness	未成熟
immediate allergy	遺傳性過敏症
immediate apprehension	直接
immediate payment	現金
immenseness	雄偉
immensurable	不可測量的
imminency	迫切
imminentness	迫切
immingle	混合
immix	混合
immobilisation	固定
immobilise	使不動
immobilizing	固定
immoderateness	無節制
immortalise	紀念
immovableness	不動
immoveable	固定的
immune carrier	運送者
immune gamma globulin	免疫血球素
immune globulin	免疫血球素
immune serum globulin	免疫血球素
immune suppressant drug	免疫抑制劑
immunisation	免疫
immunise	使免除
immunochemical assay	免疫分析
immunologic	免疫學的
immunosuppressive drug	免疫抑制劑
immunosuppressor	免疫抑制劑
immurement	囚禁
immutableness	永遠不變
impacted tooth	裝緊
imparting	讓與
impassioned	熱心的
impassiveness	無知覺
Impatiens capensis	鳳仙花科
impeccant	天真的人
impelled	有緊迫感的
impendence	迫切
impendency	迫切
impendent	在手邊
impenetrableness	不能通過
impenitency	不悔改
imperative form	祈使語氣
imperativeness	堅持
imperfect tense	改革論者
imperial beard	帝國
Imperial gallon	加侖
impermanency	短暫性
impermeableness	不能滲透的性質
imperturbableness	涼快
imperviable	透不過的
imperviousness	不能通過
impetuousness	激烈
impinge on	打擊
impinging	接觸
impiousness	無信仰
implanted	根深蒂固的
implausibleness	難以相信
implemental	儀器的
implements of war	武器
implicated	關心的
implicative	提示性的
implicit in	固有的
implike	拱門
imploring	辯論
implosion therapy	泛濫
important person	重要人士
importee	進口貨
importing	進口
importunately	懇求地
imposingly	令人難忘地
impossible action	不可能之事
impossibleness	不可能之事
imposter	冒名頂替的人
impounding	被壩所圍住的水
impracticableness	無法實施
impreciseness	不嚴密
impregnably	可以受孕的
imprisoned	俘虜
improbableness	不大可能
improperness	不適當
improvidently	無遠見的
improving	向上的
improvised	臨時代用品
improvize	即席寫作
in-between	斡旋
in-migration	外來的移民
in-person	以肉體形式
in-situ	不動搖的
in a bad way	哀傷的
in a beastly manner	野獸地
in a broad way	未被捕
in a heartfelt way	充滿深情地
in a higher place	上文的
in agreement	已經過協定的
in all	完全
in all likelihood	大概
in an elaborate way	精心地
in and of itself	從本質上
in apposition	同位格的
in both ears	有兩耳的
in condition	有條件的
in darkness	黑暗地
in due season	及時地
in due time	及時地
in effect	有效的
in everyone's thoughts	在空中
in flight	在飛行中
in full action	活躍
in fun	開玩笑地
in great confusion	完全地
in her own right	憑本身的頭銜
in her right mind	神志正常
in its own right	憑本身的頭銜
in large quantities	批發
in one case	一次
in one ear	單耳的
in part	部分地
in situ	不動搖的
in small stages	一片一片的
in so far	在...的範圍
in someone's way	擋道
in spades	果斷地
in spite of appearance	內心裡
in stages	一片一片的
in straitened circumstances	沒有錢的
in style	最新的
in tandem	兩匹馬拉的雙輪馬車
in the adjacent apartment	隔壁
in the adjacent house	隔壁
in the altogether	未開化的
in the bargain	再者
in the buff	未開化的
in the first place	起初
in the lead	在前
in the main	主要地
in the midst	在中點的
in the south	南部
in their right minds	神志正常
in this	在其中
in two ways	二倍地
in writing	繪畫似的
Inachis io	孔雀
inactiveness	不活動
inadvisably	方便地
inalienably	不能讓與的
inappositeness	不適當
inarguably	不可論證地
inaudibleness	聽不見
inaugural address	就職演講
inauthentic	不可靠的
inborn reflex	反射
inbuilt	嵌入的
incandescent lamp	球莖
incapableness	無能力
incapacitated	無助的
incautiousness	不小心
incertain	無常的
inchoative	起初的
incidence angle	入射角
incidental expense	附帶事件
incisura	切跡
inciter	教唆者
incitive	縱火犯人
inclementness	險惡
inclination of an orbit	傾向
inclining	傾向
inclusion body	包含
incoherency	不連貫
income tax return	納稅申報單
incommodiousness	不便
incompetent person	無能力者
inconceivableness	不能想像
incongruousness	不調和
inconsequently	不重要地
inconsiderateness	欠考慮
inconsideration	欠考慮
incontestible	無可爭辯的
incontinency	不能自製
incontrovertibility	肯定
incontrovertibleness	肯定
inconvenience oneself	煩惱
incorporeality	非物質性
incorrupted	完美的
incorruptness	不腐敗
incredibleness	不可信
incremental cost	邊際成本
incriminating	負罪的
incrust	包外殼
inculpation	連累
inculpative	使人負罪的
incurableness	不能醫治
incurvature	中央凹陷
indecisiveness	優柔寡斷
indefatigableness	不疲勞
indefiniteness	不確定
indefinity	不確定
independency	獨立
independent clause	主句
indeterminably	不能決定的
indeterminateness	不確定
index of refraction	折射率
India-rubber fig	橡膠植物
India-rubber plant	橡膠植物
India-rubber tree	橡膠植物
India rubber	橡膠
Indian banyan	菩提樹
Indian bean	梓
Indian cholera	霍亂
Indian corn	小麥
Indian grackle	美洲黑羽椋鳥
indian lodge	小屋
Indian lotus	蓮花
Indian meal	玉蜀黍粉
indian mustard	芥末
Indian pony	印第安種的小馬
Indian potato	落花生
Indian relish	印度甜調味料的一種
Indian rupee	盧比
indian shot	竹芋
indicative mood	指示的
indicatory	指示的
indigen	本地人
indigene	本地人
indigenously	土產的
indigestibleness	難消化
indigo plant	靛青
Indigofera tinctoria	靛青
indigotin	靛青
indirect evidence	旁證
indirect expression	婉轉曲折的說法
indirect request	願望
indispensableness	不可缺少
indistinguishability	同一性
individualisation	賦予個性
individualise	賦予個性
individualistically	個人主義的
individualization	賦予個性
indomitability	無敵
indoor garden	溫室
indorser	簽署者
inducing	誘因
inducive	引人的
induction accelerator	電子感應加速器
inductive reasoning	一般化
indue	捐贈
indulging	沈溺
induration of the arteries	動脈硬化
industrial disease	職業病
industrial enterprise	工業化
industrial plant	植物
industrialisation	工業化
industrialise	使工業化
industrialised	工業化的
industriousness	勤奮
indweller	居民
ineffectuality	不起作用
ineffectualness	不起作用
inefficaciously	無效地
inefficaciousness	無效力
ineloquently	口齒不清地
ineptness	笨拙
inequitably	不公平的
inerrable	無錯誤的
inevitable accident	優勢
inevitableness	不可逃避
inexpediently	不便的
inexperienced person	天真的人
inexperient	經驗不足的
inexpressively	缺乏表情的
inexpugnable	可以受孕的
infant death	嬰兒猝死
infantile fixation	定置
infelicitously	不幸的
inferior vena cava	後腔靜脈
infernal region	死後打入地獄
infiniteness	無限
inflaming	怒火
inflammatory bowel disease	結腸炎
inflater	充氣者
inflectional morphology	初步
inflexibleness	不屈性
inflexion	屈曲
influence peddler	固定器
influential person	重要人士
infolding	入套
information processing system	電腦
informatively	教育地
informatory	情報的
infotainment	記錄片
infract	違反
inframaxillary	顎的
infrared emission	紅外線的
infrared frequency	紅外線的
infrared light	紅外線的
infrared radiation	紅外線的
infrigidation	冷藏
infuriated	狂怒的
ingeminate	重復
ingeniousness	有發明才能
ingenuousness	單純
ingraining	灌輸
ingrown toenail	嵌甲
inguen	腹股溝
ingurgitate	峽谷
INH	異菸鹼硫胼
inharmoniousness	不調和
inherency	內在
inherent aptitude	本能
inheritrix	女繼承人
inhuman treatment	殘酷
inhumaneness	不人道
inhumed	埋葬的
initial rhyme	頭韻
initialisation	設定初值
initialise	開本
initialism	只取首字母的縮寫詞
initialize	開本
injectant	注射
injudiciously	欠思考的
injudiciousness	欠詳慮
injured party	嚴重事故
injuriousness	傷害
ink-black	墨水的
inking pad	墊
inkpad	墊
inkpot	墨水瓶
inkstand	墨水池
inky-black	墨水的
inmarriage	同族結婚
innate reflex	反射
inner ear	迷宮
innersole	鞋內底
innominate bone	臀骨
innovational	創新的
innumerous	數不盡的
inodorous	沒有氣味的
inopportunely	不適當的東西
inopportuneness	不合時宜
inordinateness	過度
inorganic phosphate	磷酸鹽
inosculate	吻合
inpour	侵入
inpouring	侵入
input signal	輸入
inquisitory	搜索的
insalubriousness	不利於健康
inscribed	被深深印入的
insect powder	殺蟲劑
insect repellant	驅蟲劑
insect repellent	驅蟲劑
insensately	無感覺的
insensitiveness	無感覺
Insessores	棲於樹上的鳥
insightfulness	敏銳
insignificantly	無關重要的
insipidness	沈寂
insisting	堅持
insolate	太陽
inspection and repair	徹底檢修
inspirationally	激勵人心的
inst	立即
instal	安裝
installing	安裝
installment buying	分期付款購物法
instancy	直接
instant replay	重賽
instantaneousness	直接
instauration	開始
instigant	教唆者
instigative	縱火犯人
instill	使有印象
instilling	灌輸
instilment	慢慢灌輸
instinctive reflex	反射
institutionalise	委託
institutionalised	被確立的
instruction execution	實行
instructions	使用說明書
instrumental role	儀器
instrumentate	儀器
insubstantially	不能感知地
insulant	隔離
insularism	隔離
insurance broker	保險代理人
insurance coverage	覆蓋範圍
insurance firm	保險公司
insurance underwriter	保險公司
insured person	已投保的
intaglio printing	陰刻
intangibleness	不可觸知性
integrality	全部
integrally	積分
integrating	整合
integumental	外皮的
intellection	思考
intellectual nourishment	食物
intelligence activity	智力
intelligence agency	智力
intelligence agent	暗探
intelligence information	智力
intelligence officer	暗探
intelligence operation	智力
intelligence service	智力
intemperately	沈重地
intemperateness	不節制
intension	含蓄
intensity level	強烈
intensiveness	強烈
inter-group communication	聯絡
interactional	互動式的
interbreeding	雜交
intercalary year	閏年
intercellular substance	母體
interchurch	派系間的
intercommunication system	對講電話裝置
interconnected	有互相關係的
interconnectedness	互相連接
intercostal muscle	肋間部
intercrossed	混血兒
interdepend	結合在一起
interdependency	相互關係
interest group	興趣
interestingness	興趣
interference fringe	邊緣
interfering	愛管閒事的
interior decoration	裝飾
interior designer	設計者
interiorise	使內在化
interiorize	使內在化
interlanguage	佛蘭卡語
interlineal	寫在行間的
interlingual rendition	翻譯
interlocking	諾言
intermeshed	忙碌的
intermittency	時斷時續
intermittent cramp	手足抽搐
intermittent tetanus	手足抽搐
internal ear	迷宮
internal organ	內臟
internal representation	代表
internal respiration	呼吸
internal revenue agent	收稅員
internalisation	內在化
internalise	使內在化
international ampere	安培
international mile	哩
international nautical mile	海里
internationalisation	國際化
internationalise	使國際化
internationalistic	國際主義者
internationality	國際主義
internet site	位置
interpenetrate	彌漫
interpersonal chemistry	化學
interpreted	拿
interpreting	解釋
interpretive program	直譯程式
interred	埋葬的
interrelatedness	相互關係
interrogation point	問號
interrogative mood	疑問詞
interrogative sentence	問題
interschool	學校間的
intersectant	交叉的
intersecting	交叉的
intersection point	交集
interspersal	散佈
interstate highway	州際公路
intestinal colic	絞痛
intestinal flu	腸胃炎
intestinal obstruction	腸閉塞
intimate apparel	女用貼身內衣褲
intolerantly	不寬容的
intonate	吟詠
intoned	單調的節奏
intoxicated	醉漢
intractableness	難駕馭
intractably	不聽話的
intradermic	皮膚內的
intragroup	本質
intransigency	不妥協
intransitive verb	不及物動詞
intransitive verb form	不及物動詞
intrenchment	塹壕
intriguer	設計者
intriguing	引起興趣的
intrinsical	本身的
intro	介紹
intromit	允許進入
Intropin	多巴胺
introvertive	內向性的
intrude on	侵略
intrusiveness	過於殷勤
intrust	信託
intubate	套管狀的
intubation	管子
intuitive feeling	感覺
intumesce	鼓起
intumescency	膨脹
inunct	塗以油或軟膏
inundated	飄浮著的
inutility	無用
invading	侵略的
invalidator	放棄
invalidness	無效
invaluableness	珍貴
invariableness	不變性
invariance	不變性
inventory-clearance sale	清倉削價銷售
inventorying	詳細目錄
invertebrate foot	腳
inverted comma	引用
investigating	調查
investing	投資
investment banker	擔保人
investment company	投資信託公司
investment firm	投資信託公司
investment funds	投資
invidia	羡慕
invigilate	代理人
invisibleness	看不清
invite out	問
invitingly	讓人著急地
involuntariness	不願意
inwardness	仁
ionisation	離子化
ionise	使離子化
ionophoresis	電泳
Ipomoea batatas	甘薯
Ipomoea orizabensis	旋花科植物
IQ test	智力測驗
Ir	銥
Iranian dinar	第納爾
Iranian rial	伊朗的銀幣
Iraqi dinar	第納爾
irately	發怒的
iris diaphragm	虹膜
Iris florentina	鳶尾科植物
Iris germanica florentina	鳶尾科植物
Irish bull	胡說
Irish burgoo	一種什錦羹
Irish gorse	金雀花
Irish moss	角叉菜
Irish potato	馬鈴薯
Irish pound	平底船#踢懸空球
Irish punt	平底船#踢懸空球
iron-storage disease	血色沈著病
iron-tree	鐵木樹
iron boot	靴
iron carbide	滲碳體
iron collar	用繩勒殺搶劫
iron heel	靴
iron manganese tungsten	鎢錳鐵礦
iron out	鐵
iron overload	血色沈著病
iron pyrite	黃鐵礦
iron tree	鐵木樹
ironist	諷刺作家
ironmonger	五金店
ironmonger's shop	五金店
ironwood tree	鐵木樹
irreality	不真實
irrepressibility	浮性
irresistible impulse	強迫
irresistibleness	不可抗拒
irresoluteness	不決斷
irresponsibleness	不承擔責任
irrevokable	不能挽回的
irridenta	受外國統治之地區
irridentism	民族統一主義
irridentist	主張收復國土者
ischial bone	坐骨
Ishmael	被驅逐的人
island-dweller	島上居民
isobilateral	雙方的
isolationistic	孤立主義者
isometric exercise	定肌收縮運動
isometric line	等量的
isomorphy	異種同形
isopropyl alcohol	異丙醇
isotropically	等方性的
isotropous	等方性的
isotropy	對稱
issue forth	來
issuing	發行
IT	資訊科技
Italian lira	里拉
Italian sandwich	轟炸機
italicise	用斜體字排字
itchy feet	旅行熱潮
item-by-item	人
itemisation	清單
itemise	分條列述
iterative aspect	反覆的
itsy-bitsy	極小的
itty-bitty	極小的
IUD	子宮內避孕器
ivy-covered	長滿常春藤的
IX	九
izzard	字母z
jabberer	淌口水的人
jabbering	快而含糊不清的話
jabbing	猛戳
Jack-tar	水手
jack oak	皮製大酒杯
Jack of all trades	受雇做雜事的人
jack off	手淫
jack salmon	角膜白斑
jack up	插座
jacket crown	王冠
jackfruit	插座
jacklight	插座
jackstones	插座
Jacob's ladder	慈善
jactitate	使震動
jade-green	翡翠
jade green	翡翠
jadestone	翡翠
jaggedly	破爛地
jail bird	囚犯
jail cell	單元
jailed	俘虜
jak	插座
jakes	外屋
jalapeno	辣椒
jam-packed	卡住的
Jamaica bayberry	月桂樹的果實
Jamaica sorrel	栗色
jambeau	護脛套
jambon	火腿
Jamestown weed	曼陀羅
jammies	睡衣褲的
jamming	擁擠
jampack	擁擠
Japanese andromeda	衣索比亞的公主
Japanese medlar	枇杷樹
Japanese plum	枇杷樹
Japanese radish	小蘿蔔
japery	滑稽
jar against	撞到
jarful	罐
jargoon	專門術語
Java pepper	蓽澄茄
jazz around	閒逛
jazz group	爵士樂隊
jeerer	嘲笑者
jehad	討伐異教徒
jejunely	不成熟的
jejuneness	不成熟
jejunity	溫順
jelled	凝成膠狀的
jellylike	凝膠狀的
jenny ass	西班牙種小馬
jenny wren	少女
jeopardise	危及
jerk off	手淫
jerked meat	牛肉幹
jerking	猛然地一拉
Jerusalem thorn	棗樹
jest at	嘲笑
jestingly	開玩笑地
Jesuit's bark	金雞納樹
jet-black	黑玉#噴射
jet-propelled plane	黑玉#噴射
jeune fille	少女
jewel casket	首飾盒
jeweled	圓小晶亮如珠的
jeweler's loupe	寶石及鐘錶商人所用的強力放大鏡
jewelry maker	珠寶商
jiggermast	跳蚤#小滑車
jiggery-pokery	欺騙
jillion	百萬
jimdandy	傑出的人物
jimhickey	傑出的人物
jimson weed	曼陀羅
jingle-jangle	叮噹聲
jingling	叮噹響的
jinks	喧鬧的玩樂
jinnee	妖怪
jitteriness	跳動
jiujitsu	柔術
jock	運動員
jodhpur breeches	騎馬褲
John Barleycorn	酒
John Hancock	親筆
joined	聯合的
joint author	共同執筆者
jokester	愛開玩笑的人
joking	開玩笑
jollify	狂歡
jolly along	愉快
jolly boat	恭維
Jolly Roger	海盜用的骷髏旗
jolly up	愉快
jolting	高低不平的地面
Jordanian dinar	第納爾
jostling	推擠
jotting	少量
journeyer	旅客
journeying	旅程
joylessly	不高興的
joyousness	歡喜
jubilance	狂喜
jubilancy	狂喜
judder	搖動
Judgement Day	結帳日
judgement of dismissal	免職
judging	審判
judgment of conviction	定罪
judgment of dismissal	免職
judicial admission	約束
judicial decision	審判
judicial proceeding	訴訟
judicial sale	強行拍賣
judicial system	司法部
judicial writ	令狀
judiciousness	睿智
jugal bone	頰骨
juggling	玩戲法
Juglans cinerea	白胡桃
jugular vein	頸靜脈
juice reamer	鑽孔器
juice up	使活潑
juiciness	鮮美多汁
juju	伏都教
jujube bush	棗樹
jujutsu	柔術
juke	冒牌貨
julienne vegetable	菜湯
jumbal	混亂
jumbled	無秩序的
jument	馱獸
jump-start	跳躍
jump on	可乘騎的東西
jump out	跳躍
jump rope	跳繩用繩子
jump shot	跳躍者#工作服
jumper cable	指導
jumper lead	指導
jumping	跳躍
jumping-off place	開航點
jumping-off point	跳板
jumpstart	跳躍
junco	雀科小鳥
junction rectifier	兩極管
junction transistor	電晶體
Juncus effusus	蘆葦
June 21	夏至
junior-grade	地位低的
junior high	初級中學
juniper bush	檜屬植物
Junoesque	雕像般的
jury-rigged	臨時代用品
jus civile	民法
jussive mood	祈使語氣
just deserts	應得的懲罰
just in time	恰好
just right	嚴格按照字句
just the ticket	票
justifiedly	端正地
Justinian code	民法
jut out	堅持到底
jutting	推出
juvenile person	少年
K-Dur 20	氯化鉀
K-lor	氯化鉀
K-lyte	氯化鉀
K.E.	動能
kabala	猶太神祕哲學
kabbala	猶太神祕哲學
kabbalah	猶太神祕哲學
Kabbalism	猶太神秘哲學
kabbalist	猶太神秘哲學
kabbalistic	猶太神秘哲學的
kaffir corn	卡菲爾人
Kaffir pox	亞天花
kafir	卡菲爾人
kafir corn	卡菲爾人
kaftan	有腰帶的長袖衣服
kail	無頭甘藍類
kainogenesis	新生性變態
kala azar	利什曼病
kaleidoscopical	萬花筒似的
kali	岡羊栖菜
kalian	水煙筒
kalif	哈利發
kaliph	哈利發
kangaroo bear	無尾熊
Kantrex	卡那徽素
Kaochlor	氯化鉀
karyon	核心
kasbah	阿拉伯式之宮廷
kat	阿拉伯茶
katabolism	異化作用
Katsuwonus pelamis	松魚
kavakava	卡瓦胡椒
Kavrin	罌粟鹼
kayoed	外面
kbit	千位元組
kc	千赫
keeled	有龍骨的
keen-sighted	目光銳利的
keep abreast	跟隨
keep down	數目
keep guard	站崗
keep in line	操縱
keep off	躲開
keep on	保持
keep one's eyes off	保持疏遠
keep one's eyes open	謹慎小心
keep one's eyes skinned	謹慎小心
keep one's hands off	保持疏遠
keep one's nose to the grindstone	猛擊
keep one's shoulder to the wheel	猛擊
keep open	生計
keep out	除外
keep quiet	保持緘默
keep up	延長
kegful	小桶
keister	臀部
kelpwort	岡羊栖菜
kelter	良好狀態
kempt	椅子的背罩
kenogenesis	新生性變態
Kenyan shilling	先令
kept	完整的
kept woman	主婦
keratinisation	角質化
keratinise	使角質化
keratodermia	角皮病
kerbstone	路邊石
kerfuffle	擾亂
ketoaciduria	酮尿
kettle hole	茶壺
kettle of fish	困境
kettleful	茶壺
key fruit	鑰匙
key out	識別
key pattern	苦惱
key signature	簽名
key stroke	鍵擊
kg	公斤
khalifah	哈利發
khi	希臘字母的第22字
kHz	千赫
ki	希臘字母的第22字
kibbitz	管閒事
kick back	彈回
kick downstairs	使降級
kick in	開始
kick one's heels	空等
kick up	激怒
kick upstairs	晉升
kicking	踢
kid-glove	機智的
kiddie	小孩
kidney-shaped	腎臟形的
kidney disease	腎病
kildeer	雙胸斑沙鳥
killdeer plover	雙胸斑沙鳥
killer whale	殺人者
kilobit	千位元組
kilocycle per second	千赫
kilolitre	千升
kilometers per hour	每小時...公里
kilometre	千米
kilometres per hour	每小時...公里
kin group	親戚
kinaesthesis	動覺
kinaesthetic	動覺的
kinaesthetically	動覺的
kind of	相當
kinda	相當
kindergartener	幼稚園的老師
kine	牛
kinesthetically	動覺的
kinesthetics	動覺
kinetochore	著絲點
king's evil	淋巴結核
king-sized	特大的
king salmon	奇努克人
kingbolt	中央球瓶
kingcup	西洋櫻草
kingdom Animalia	動物界
kinglike	國王的
kink up	使起皺
kino gum	吉納紫檀
kinship group	親戚
kinsperson	親戚
kip down	上床睡覺
kippered herring	醃鯡魚
kismat	命運
kiss of life	嘴對嘴人工呼吸法
kissing disease	單核細胞增多症
kit out	成套工具
kit up	成套工具
kitchen midden	貝塚
kitchen range	火爐
kitchen stove	火爐
kitschy	平凡的
kitty-cat	小貓
kiwi fruit	鷸鴕
kiwi vine	鷸鴕
Klavier	鍵盤
klick	千米
Klorvess	氯化鉀
km	千米
km/h	每小時...公里
knap	叩擊
knee bend	蹲
knee joint	膝
knee pants	馬褲
kneeling	跪下
knickknackery	小古董
knife thrust	刺
knifelike	尖銳的
knight bachelor	單身男子
knightliness	騎士精神
knit stitch	編織衣物
knitwork	編織衣物
knobbed	多瘤的
knobbly	多節的
