a	累加器
none	一點也不
nonentity	不存在
nonet	九重奏曲
nonetheless	然而
nonfeasance	不履行義務
nonjoinder	未參加訴訟
Nonjuror	拒絕宣誓者
nonliving	非生活的
nonofficial	非正式的
nonpareil	無比的
nonplus	使困惑
nonplussed	驚訝不止的
nonresistant	不抵抗的
nonsense	無意義的事
nonsensical	無意義的
nonsuit	訴訟駁回
nonsupport	不支持
nonyl	壬基
noodle	面條
nook	角落
noon	正午
noonday	正午
nooning	中午
noontide	中午
noose	套索
nope	不
nor	也不
nor-	降
nor'wester	西北
Nordic	北歐人
Norfolk	諾福克
nori	海苔
norm	基準
Norma	矩尺
normal	常態
normal distribution	正態分布
normal form	範式
normal school	師範學校
normality	常態
normalize	使常態化
normally	正規地
Normandy	諾曼底
normative	合乎規範的
normotensive	正常血壓的
Norn	諾恩
north	北方
North America	北美洲
North Carolina	北卡羅來納
North Dakota	北達科地
North Sea	北海
northbound	北行的
Northeast	東北
northeaster	東北大風
northerly	北方的
northern	北方人
Northern blot	印蹟
northerner	北方人
northing	北向緯度差
northland	北國
northward	北方
northwester	西北大風
Norway	挪威
Norway rat	棕鼠
Norwegian	挪威人
nose	鼻子
nosebag	草料袋
noseband	鼻羈
nosebleed	鼻出血
nosedive	俯衝
nosegay	花束
nosema	小孢子蟲屬
nosepiece	鼻羈
nosh	小吃
nosocomial	醫院的
nosode	病質藥
nosography	病情學
nosology	疾病分類學
nostalgia	鄉愁
nostalgic	鄉愁的
nostoc	念珠藻屬
nostril	鼻孔
nostro account	往
nostrum	萬能藥
nosy	大鼻子的
not	不
nota bene	注意
notability	顯著
notable	著名人士
notably	顯著地
notarize	證明
notary	公證人
notation	記號
notch	刻痕
notch effect	缺口效應
notch filter	凹口濾波器
note	筆記
notebook	筆記本
notecase	皮夾子
noted	著名的
notelet	短柬
notepad	記事本
notepaper	信紙
noteworthy	值得注目的
nothing	無
nothingness	無
notice	注意
noticeable	顯而易見的
notifiable	須申報的
notification	通知
notify	通知
notion	概念
notional	概念的
notochord	脊索
notoriety	惡名
notorious	聲名狼藉的
Nottingham	諾丁漢郡
notum	昆蟲的背板
notwithstanding	雖然
nougat	牛軋糖
nought	沒有
noumenon	本體
noun	名詞
noun phrase	名詞短語
nourish	滋養
nourishing	有營養的
nourishment	滋養品
nous	精神
Nov.	十一月
nova	新星
novation	更新
novel	小說
novelette	中篇小說
novelist	小說家
novelistic	小說的
novelize	使小說化
novella	短篇故事
novelty	新奇
November	十一月
novice	新手
novitiate	見習期
novocaine	奴佛卡因
now	現在
nowadays	現在
Nowel	下模
nowhere	無處
nowise	毫不
noxious	有害的
noyade	溺水刑
nozzle	管口
NPN	晶體管
ns	毫微秒
nsec	納秒
NT	氡
nu	希臘字母第
nuance	細微差別
nub	小塊
nubbin	小瘤
nubble	小塊
Nubia	努比亞
Nubian	努比亞人
nubile	適婚的
nucellus	珠心
nuchal	頸的
nuclear	核子的
nuclear energy	核能
nuclear family	基本家庭
nuclear fission	核分裂
nuclear force	核力
nuclear fuel	核燃料
nuclear fusion	核聚變
nuclear isomer	同質異能素
nuclear magnetic resonance	核磁共振
nuclear medicine	核醫學
nuclear physics	核物理
nuclear power	核動力
nuclear reaction	核反應
nucleate	成核
nuclei	核心
nucleic acid	核酸
nucleo-	核
nucleocapsid	殼包核酸
nucleolus	核
nucleon	核子
nucleonics	核子學
nucleoplasm	核質
nucleoprotein	核蛋白質
nucleosome	核小體
nucleosynthesis	核合成
nucleus	核心
nuclide	核素
nude	裸的
nudge	用肘輕推
nudie	裸體電影
nudist	裸體主義者
nudity	裸露
nudnik	無聊的人
nugatory	無價值的
nugget	金塊
nuisance	討厭的東西
nuisance value	阻礙價值
nuke	核武器
null	無效力的
null character	零字符
null hypothesis	虛假說
null link	空連接
nullah	流水
nullify	使無效
nullipara	未產婦
nullity	無效
numb	麻木的
number	數
number line	數字行
number one	自己
number plate	號碼牌
number sign	數的符號
number theory	數論
numberless	無數的
numbfish	電鰩
numbness	麻木
numen	神
numerable	可數的
numeral	數字
numerate	算出來
numeration	計算
numerator	分子
numerical	數字的
numerical analysis	數值分析
numerical control	數字控制
numerous	很多的
numinous	精神上的
numismatic	貨幣的
numismatics	錢幣學
nummular	硬幣形的
nummulite	貨幣蟲
numnah	粗氈
nun	修女
nuncupative	口頭的
nunnery	女修道院
nuptial	婚禮
nuptiality	婚姻率
Nuremberg	紐倫堡
nurse	護士
nursemaid	保姆
nursery	託兒所
nursery rhyme	童謠
nursery school	幼兒園
nurseryman	苗木培養工
nursing	看護
nursing home	私人療養院
nursling	嬰兒
nurturance	養育
nurture	養育
Nusselt number	努塞特數
nut	堅果
nut oil	胡桃油
nut-brown	深棕色的
nutation	垂頭
nutcase	瘋子
nutlet	小堅果
nutmeg	肉豆蔻
nutpick	尖形挑針
nutria	海狸鼠
nutrient	營養的
nutriment	營養物
nutrition	營養
nutritionist	營養學家
nutritious	滋養的
nutritive	有營養的
nutshell	堅果殼
nutty	產堅果的
nux vomica	馬錢子
nuzzle	將鼻插入
NY	紐約
nyctalopia	夜盲症
nyctophobia	黑夜恐怖症
nympholepsy	狂亂
nymphomania	慕男狂
Nyquist diagram	圖
nystagmus	眼球震顫
nystatin	制霉菌素
NZ	非零
o	啊
o'clock	點鐘
oaf	呆子
oafish	癡呆的
oak	橡樹
oakum	填絮
oar	槳
oarsman	劃手
oasis	綠洲
oast	烘幹窯
oat	燕麥
oatcake	燕麥餅
oath	誓約
oatmeal	燕麥片
ob-	抗
Obadiah	俄巴底亞書
obbligato	伴奏
obcordate	倒心髒形的
obduction	屍體剖驗
obdurate	頑固的
obeah	奧比巫術
obedience	服從
obedient	服從的
obeisance	敬禮
obelisk	方尖塔
obelize	指出
obelus	劍號
Oberon	奧伯龍
obese	肥胖的
obesity	肥胖
obey	服從
obfuscate	弄暗
obi	寬腰帶
obit	訃告
obiter	順便
obiter dictum	順便說的話
obituary	關于死亡的
object	物體
object code	結果代碼
object language	目標語言
object lesson	實物教學課
object program	結果程序
object-oriented	面向對象的
objectify	使客觀化
objection	異議
objective	目的
objective function	目標函數
objectivism	客觀主義
objectivity	客觀
objects clause	目標條款
objurgate	痛罵
oblanceolate	倒披針形的
obligate	使負義務
obligation	義務
obligatory	義務的
oblige	強制
obligee	權利人
obliging	樂于施惠的
obligor	義務人
oblique	斜的
obliquely	斜
obliterate	擦去
obliteration	抹消
oblivion	遺忘
oblivious	遺忘的
oblong	長方形
obloquy	辱罵
obnoxious	可憎的
oboe	雙簧管
obol	奧波勒斯
obovate	倒卵形的
obscene	淫穢的
obscenity	淫穢
obscurantism	蒙昧主義
obscure	模糊的
obscurity	陰暗
obsecration	懇求
obsequies	葬禮
obsequious	諂媚的
observable	可遵守的
observance	觀察
observant	嚴格遵守
observation	觀察
observation post	觀測所
observatory	天文台
observe	覺察到
observer	觀察者
obsess	迷住
obsession	困擾
obsessive	著迷的
obsidian	黑曜石
obsolete	荒廢的
obstacle	障礙
obstacle race	障礙賽跑
obstetric	產科的
obstetrician	產科醫師
obstetrics	產科學
obstinacy	倔強
obstinate	倔強的
obstipation	頑強便秘
obstreperous	吵鬧的
obstruct	阻隔
obstruction	障礙
obstructive	引起阻塞的
obstruent	梗阻的
obtain	獲得
obtrude	逼使
obtrusive	強迫人的
obtund	使遲鈍
obturate	充填
obturator	充填器
obtuse	鈍的
obverse	正面
obvert	將
obviate	除去
obvious	明顯的
obviously	顯而易見地
OC	操作碼
ocarina	奧卡裡那笛
occasion	場合
occasional	偶然的
occasionalism	偶因論
occasionally	有時候
Occident	西方
occidental	歐美人
occipital bone	枕骨
occipito-	枕骨的
occipitotemporal	枕顳的
occiput	枕部
occult	神秘的
occupancy	佔有
occupant	佔有者
occupation	職業
occupational	職業的
occupational hazard	職業危害
occupier	佔用者
occupy	佔領
occur	發生
occurrence	發生
occurrent	正在發生的
ocean	海洋
oceanarium	大型水族館
Oceania	大洋洲
oceanic	海洋的
Oceanid	俄刻阿尼得
oceanography	海洋學
ocellated	具單眼的
ocellus	單眼
ocelot	豹貓
och	阿
ochlocracy	暴民政治
ochlophobia	擁擠恐怖
ochre	赭石
oct.	十月
octa-	八
octad	八個一組
octagon	八邊形
octahedron	八面體
octal	八進制的
octameter	八音步詩行
octane	辛烷
octane number	辛烷值
octant	八分圓
octavalent	八價的
octave	八音度
octavo	八開紙
octo-	八
October	十月
octodecimo	十八開紙
octogenarian	歲到
octonary	八的
octopamine	酚乙醇胺
octopus	章魚
octoroon	13 有八分之一黑人血統的混血兒
octosyllable	八音節詞
octyl	辛基
ocular	眼睛的
ocular dominance	眼優勢
oculist	眼科醫師
oculo-	眼
oculomotor	眼球運動的
oculus	眼
od	自然力
odd	奇數的
odd job	零工
odd lot	零批
oddball	古怪的
oddity	奇異
oddment	零頭
odds	可能性
odds and ends	零星東西
ode	頌詩
odeum	表演場
Odin	奧丁
odious	可憎的
odium	憎惡
odometer	裡程表
odontalgia	牙痛
odonto-	牙
odontoblast	成牙質細胞
odontoid	牙狀的
odontology	牙科學
odorant	惡臭物質
odoriferous	散發氣味的
odorize	添臭
odorous	芬芳的
odour	氣味
odourless	無氣味的
Odyssey	奧德賽
OED	牛津大詞典
oedema	水腫
Oedipus	俄狄浦斯
Oedipus complex	戀母情結
oenology	釀酒學
oersted	奧
oesophagitis	食管炎
oesophagus	食道
oestradiol	雌二醇
oestriol	雌三醇
oestrogen	雌激素
oestrone	雌酮
oestrus	發情
of	的
ofay	白人
off	關著的
off colour	身體不舒服
off season	非生產季節
off year	小年
off-gas	廢氣
off-hours	間斷時間
off-key	走調的
off-licence	賣酒執照
off-peak	非尖峰的
off-site	工地外
off-street	離開街道的
off-track	偏離磁道
off-white	黃白色
offal	碎屑
offbeat	不平常的
offence	犯罪
offend	犯罪
offender	罪犯
offensive	令人不快的
offer	給予
offer price	售價
offering	提供
offering price	要價
offertory	奉獻儀式
offhand	即時的
office	辦公室
office hours	辦公時間
office worker	上班族
office-bearer	官員
officeholder	官員
officer	軍官
official	官員
official assignee	法定受託人
official receiver	官方接管人
officialese	官樣文章
officially	作為公務員
officiate	執行
officious	多管閒事的
offing	海面
offish	不親熱的
offline	掛線
offprint	選刊
offset	抵消
offshoot	分支
offshore	海面的
offside	外側
offspring	子孫
offstage	台後
offtake	購買
oft	常常
often	時常
oftentimes	時常地
ogee	形線
ogive	尖頂拱
ogle	眉目傳情
OGPU	格伯鳥
ogre	食人魔鬼
ogress	食人女妖
oh	哦
Ohio	俄亥俄
ohm	歐姆
Ohm's law	歐姆定律
ohmmeter	歐姆計
oho	哦呵
oidium	卵狀菌屬
oil	油
oil bath	油浴
oil burner	油燒嘴
oil drum	油桶
oil engine	煤油機
oil gas	油氣
oil of vitriol	濃硫酸
oil paint	油畫顏料
oil pan	承油盤
oil platform	石油平台
oil press	榨油機
oil sand	油砂
oil shale	油頁岩
oil slick	浮油
oil tanker	油輪
oil well	油井
oilcan	油罐
oilcloth	油布
oiled silk	油綢
oiler	油商
oilman	石油工人
oilseed	油籽
oilskin	油布
oilstone	油磨刀石
oily	油的
oink	豬叫聲
ointment	軟膏
OK	好
Oklahoma	俄克拉何馬
okra	秋葵
old	以前
old guard	保守派
old hand	熟練工人
old hat	老式的
old school	守舊派
old wives' tale	荒誕故事
old-fashioned	舊式的
old-line	老資格的
old-time	從前的
old-timer	老前輩
old-world	從前的
olden	古時的
oldster	老人
oleaginous	油質的
oleander	歐洲夾竹桃
oleate	油酸鹽
olecranon	鷹嘴
olefin	石蠟
oleic acid	油酸
oleiferous	產油的
oleo-	油
oleomargarine	人造黃油
oleoresin	油性樹脂
oleum	發煙硫酸
olfaction	嗅覺
olfactometer	嗅覺計
olfactory	嗅覺的
olibanum	乳香
oligaemia	血量減少
oligarchy	寡頭政治
oligo-	少
Oligocene	漸新世
Oligochaeta	寡毛目
oligoclase	奧長石
oligomer	低聚物
oligopsony	買主寡頭
oligosaccharide	低聚糖
oligospermia	精子減少
oliguria	尿少
olio	什錦菜
olivaceous	橄欖綠的
olivary	橄欖形的
olive	橄欖
olive branch	橄欖枝
olive drab	草綠色
olive oil	橄欖油
Oliver	腳踏鐵鎚
olivine	橄欖石
ology	學問
Olympia	奧林匹亞
Olympic	奧林匹亞的
Olympic Games	奧運會
Olympus	奧林匹斯山
Oman	阿曼
omasum	重瓣胃
ombudsman	調查官
omelette	煎蛋卷
omen	預兆
omentum	網膜
omicron	希臘字母第
ominous	惡兆的
omission	省略
omit	省略
ommatidium	小眼面
omnibus	公共汽車
omnicompetent	有全權的
omnidirectional	全向的
omnifarious	各種各樣的
omnipotence	全能
omnipotent	全能的
omnipresent	無所不在的
omniscient	全知的
omnivore	不偏食的人
omnivorous	無所不吃的
omphalo-	臍
omphalocele	臍突出
omphalos	浮凸飾
on	在
on-site	場區內
on-stream	在生產中
onager	中亞野驢
onanism	手淫
once	一次
once-over	瀏覽一遍
onchocerciasis	盤尾絲蟲病
onco-	瘤
oncogene	致癌基因
oncology	腫瘤學
oncoming	接近的
oncost	固定成本
one	一
one-acter	獨幕劇
one-horse	單馬拉的
one-off	一次性的
one-piece	連衣裙的
one-shot	只有一次的
one-sided	只有一邊的
one-step	一步舞
one-time	以前的
one-to-one	一對一的
one-upmanship	勝人一籌
one-way	單行道的
onefold	單一的
oneiric	夢的
oneiro-	夢
oneiromancy	解夢
oneness	單一性
onerous	繁重的
oneself	自己
onflow	奔流
ongoing	前進的
oniomania	購買癖
onion	洋蔥
onionskin	薄光澤紙
online	聯機
onlooker	旁觀者
only	唯一的
onomastic	專有名稱的
onomastics	專名學
onomatopoeia	擬聲
onrush	突進
onset	開始
onshore	向陸的
onside	不越位
onslaught	突擊
onstage	在前台
ontic	本體的
onto	在
ontogenesis	個體發生
ontogeny	個體發生
ontology	存在論
onus	負擔
onus probandi	舉證責任
onward	向前的
onymous	署名的
onyx	縞瑪瑙
oo-	卵
oocyst	卵囊
oocyte	卵母細胞
oodles	許多
oof	錢
oofy	富有的
oogamous	異配生殖的
oogenesis	卵
oogonium	卵原細胞
oology	鳥卵學
oolong	烏龍茶
oomph	性感
oophorectomy	卵巢切除術
oophoritis	卵巢炎
oops	哎喲
oosphere	卵球
oospore	卵孢子
ootheca	卵巢
ootid	卵細胞
ooze	滲流
op	觀測所
opacity	不透明
opal	蛋白石
opal glass	乳白玻璃
opalescent	乳白色的
opaline	乳色玻璃
opaque	不透明物
OPEC	歐佩克
open	公開
open air	露天
open chain	開鏈
open interest	未平倉合約
open line	明線
open market	公開市場
open outcry	公開喊價
open prison	不設防監獄
open question	待決的問題
open sea	公海
open season	解禁期間
open secret	公開的秘密
open sesame	秘訣
open system	開放系統
open verdict	存疑裁決
open-ended	可修訂的
open-faced	露面的
open-handed	慷慨的
open-minded	思想開闊的
opencast	露天開採的
opener	開
opening	開始
openly	公開地
openwork	透孔織物
opera	歌劇
operable	可操作的
operand	運算對象
operate	操作
operatic	歌劇的
operating profit	營業利潤
operating system	操作系統
operating table	手術台
operation	操作
operation code	操作碼
operational	操作的
operational amplifier	運算放大器
operational research	運籌學
operative	動作的
operator	操作員
operculum	葉蓋
operetta	小歌劇
operon	操縱子
operose	費力的
Ophidia	蛇亞目
ophidian	蛇類的
ophiolite	蛇紋石
ophiology	蛇學
ophite	纖閃輝綠岩
ophthalmia	眼炎
ophthalmic	眼睛的
ophthalmo-	眼
ophthalmology	眼科學
ophthalmoplegia	眼肌麻痺
ophthalmoscope	檢眼鏡
opiate	鴉片制劑
opine	想
opinion	意見
opinion poll	民意測驗
opinionated	固執己見的
opistho-	背
opisthotonos	角弓反張
opium	鴉片
opossum	負鼠科
opponens	對向肌
opponent	對手
opportune	恰好的
opportunism	機會主義
opportunist	機會主義者
opportunistic	機會主義的
opportunity	機會
opportunity cost	時機代價
opposable	可反對的
oppose	反對
opposed	反對的
opposing	對面的
opposite	相對的
opposition	反對
oppress	壓迫
oppression	壓抑
oppressive	壓制性的
oppressor	壓迫者
opprobrious	嘴不幹淨的
opprobrium	污名
oppugn	責難
opsin	視蛋白
opsonin	調理素
opsonize	受調理
opt	選擇
optant	抉擇者
optative	表願望的
optic	眼睛的
optic angle	光角
optic cup	視杯
optic disc	視神經盤
optic nerve	視神經
optical	眼睛的
optical activity	旋光性
optical axis	光軸
optical bench	光具座
optical brightener	熒光增白劑
optical character recognition	光符號識別
optical density	光密度
optical glass	光學玻璃
optical illusion	視錯覺
optical isomer	旋光異構體
optical microscope	光學顯微鏡
optical path	光路
optical rotation	旋光度
optical scanner	光掃描器
optician	光學儀器商
optics	光學
optima	最佳
optimal	最佳的
optimism	樂觀主義
optimistic	樂觀的
optimize	使完美
optimum	最適條件
option	選擇權
optional	可選擇的
optoelectronics	光電子學
optometer	視力計
optometrist	驗光師
optometry	視力測定
optophone	光聲機
opulence	富裕
opulent	富裕的
opuntia	仙人掌
opus	作品
opuscule	小作品
or	或
OR gate	或
ora	緣
oracle	神諭
oracular	神諭的
oral	口試
orange	柑橘
orange peel	橙皮
orangeade	橘子水
orangery	橘園
orate	演說
oration	演說
orator	演說者
oratorical	演說的
oratorio	聖樂
oratory	演講
orb	球
orbicular	圓的
orbit	軌道
orbital	軌道的
orbiter	軌道飛行器
orcein	苔紅素
orchard	果園
orchestra	管弦樂隊
orchestral	管弦樂隊的
orchestrate	編管弦樂曲
orchid	蘭花
orchidaceous	蘭科的
orchidectomy	睪丸切除術
orchil	苔色素
orchis	蘭花
orchitis	睪丸炎
orcinol	苔黑酚
ordain	注定
ordeal	嚴酷考驗
order	次序
order book	定貨簿
order form	定貨單
Order in Council	樞密院令
order of business	議程
order of magnitude	數量級
order of the day	議事日程
Order Paper	記名票據
ordered pair	有序對偶
orderly	有秩序的
ordinal	序數
ordinal number	序數
ordinance	法令
ordinand	神職候選人
ordinarily	通常
ordinary	平常的
ordinary ray	正常射線
ordinary share	普通股
ordinate	縱線
ordination	任命
ordnance	大砲
ordonnance	布局
Ordovician	奧陶紀
ordure	污物
ore	礦石
orectic	欲望的
Oregon	俄勒岡
Oregon pine	美國鬆
orf	可譯框架
org	域名
organ	風琴
organelle	細胞器
organic	器官的
organic chemistry	有機化學
organic law	基本法
organism	生物
organist	風琴彈奏者
organization	組織
organization chart	組織系統圖
organize	組織
organized	有組織的
organizer	組織者
organo-	器官
organogenesis	器官發生
organometallic	有機金屬的
organon	研究原則
organophosphate	有機磷酸酯
organotherapy	器官療法
organum	奧爾加農
organza	透明硬紗
organzine	經絲
orgasm	極度興奮
orgeat	杏仁糖漿
orgiastic	狂歡的
orgulous	驕傲的
orgy	無節制
orient	東方
oriental	東方人
oriental sore	東方癤
orientalism	東方式
orientation	定方位
orifice	孔口
oriflamme	軍旗
origin	起源
original	最初的
originality	創意
originally	本來
originate	創始
originator	創始人
oriole	金黃鸝
Orion	俄裡翁
orison	祈禱
orlop	最下層甲板
ormer	鮑
ormolu	銅鋅錫合金
ornament	裝飾
ornamental	裝飾物
ornamentation	裝飾
ornate	裝飾的
ornery	下等的
ornithine	鳥氨酸
ornithology	鳥類學
ornithosis	鳥疫
oro-	口
orogeny	造山運動
orography	山志學
oropharynx	口咽
orotund	朗朗的
orphan	孤兒
orphanage	孤兒院
Orpheus	奧菲士
Orphic	奧菲士的
orphrey	精致刺繡
orpiment	雌黃
Orpington	奧爾平頓雞
orrery	太陽系儀
orris	鳶尾草
ort	剩菜
ortho-	正
orthocephalic	正顱型的
orthochromatic	正色的
orthoclase	正長石
orthodontics	正牙學
orthodox	正統的
orthodoxy	正統說法
orthodromic	順行的
orthoepy	正音法
orthogenesis	定向進化
orthognathous	直頜的
orthogonal	直角的
orthographic projection	正射投影
orthography	正確拼字
orthonormal	規範正交的
orthopaedics	矯形術
orthophosphoric acid	正
orthopter	直翅目昆蟲
Orthoptera	直翅目
orthopteran	直翅目昆蟲
orthoptics	視軸矯正法
orthorhombic	正交
orthosis	整直法
orthostatic	直立的
orthotic	整直的
orthotropic	正交的
orthotropous	直生的
oryx	大羚羊
os	骨
Osage	奧塞奇人
Osaka	大阪
Oscan	奧斯坎人
oscillate	振動
oscillation	振動
oscillator	動搖的人
oscillo-	振動
oscillogram	示波圖
oscillograph	示波器
oscilloscope	示波鏡
oscine	鳴禽類的
oscular	口的
osculate	接吻
osculum	排水孔
osier	柳
Osiris	奧西裡斯
Oslo	奧斯陸
osmic	鋨的
osmic acid	鋨酸
osmium	鋨
osmium tetroxide	四氧化鋨
osmo-	嗅
osmometer	滲透壓力計
osmoregulation	滲透調節
osmose	滲透
osmosis	滲透作用
osmotic pressure	滲透壓
osmunda	紫萁屬
osprey	白色的羽毛
ossa	骨
ossein	骨膠原
osseous	骨的
ossicle	聽小骨
ossiferous	生骨的
ossify	使骨化
ossuary	藏骨堂
Osteichthyes	硬骨魚綱
osteitis	骨炎
ostensible	表面的
ostensibly	可公開
ostensive	直接表示的
ostensory	聖體發光
ostentation	虛飾
ostentatious	裝飾表面的
osteo-	骨
osteoarthritis	骨關節炎
osteoblast	成骨細胞
osteoclast	折骨器
osteocyte	骨細胞
osteogenesis	骨生成
osteogenesis imperfecta	成骨不全
osteoid	骨樣的
osteology	骨學
osteolysis	骨質溶解
osteomalacia	軟骨病
osteomyelitis	骨髓炎
osteonecrosis	骨壞死
osteopathy	整骨術
osteophyte	骨贅
osteoporosis	骨質疏鬆症
osteosarcoma	骨肉瘤
osteotome	骨鑿
osteotomy	截骨術
Ostia	口
ostiole	小孔
ostium	口
ostracism	流放
ostracize	流放
ostrich	鴕鳥
Ostrogoth	東哥特人
otalgia	耳痛
other	其他的
other ranks	普通士兵
other-directed	受人支配的
otherness	相異
otherwise	否則
otic	耳的
otiose	不必要的
otitis	耳炎
oto-	耳
otocyst	聽泡
otolaryngology	耳鼻喉科學
otolith	耳石
otology	耳科
otoplasty	耳成形術
otorhinolaryngology	耳鼻喉科學
otosclerosis	耳硬化症
otoscope	耳鏡
ototoxic	耳中毒性的
Ottawa	渥太華
otter	水獺
otto	玫瑰油
oubliette	地下密牢
ouch	哎唷
ought	應該
our	我們的
ours	我們的
ourselves	我們自己
oust	逐出
ouster	驅逐
out	外面的
out and out	徹底地
out of date	過時的
out-and-outer	傑出人物
outage	斷供
outback	內地
outbid	出高于
outboard	外側的
outbound	開往國外的
outbox	待發箱
outbrave	勇敢地面對
outbreak	爆發
outbreed	使遠系繁殖
outbuilding	外屋
outburst	爆發
outcast	被逐出的
outclass	比
outcome	結果
outcrop	露出
outcry	尖叫
outcurve	外曲
outdated	舊式的
outdistance	把
outdo	超越
outdoor	戶外的
outdoors	戶外
outer	外部的
outer bar	外席
outer man	外貌
outer space	太空
outermost	最外面的
outerwear	外衣
outfall	河口
outfield	外場
outfight	打敗
outfit	用具
outflank	包抄
outflow	流出
outfox	以計取勝
outgas	除
outgo	外出
outgoing	外出
outgrowth	自然的發展
outguess	看透
outhouse	外屋
outing	郊遊
outjockey	騙
outlander	外國人
outlandish	外國氣派的
outlast	比
outlay	費用
outlet	出口
outlet box	出線匣
outlier	露宿者
outline	大綱
outlive	比
outlook	觀點
outlying	在外的
outmanoeuvre	對
outmatch	優于
outmoded	過時的
outmost	最外面的
outnumber	數目超過
outpace	超過
outpatient	門診病人
outplay	技術優于
outpoint	得分多于
outport	外港
outpost	前哨
outpouring	注出
output	輸出
output gap	輸出氣隙
outrage	暴行
outrageous	暴虐的
outran	的過去式
outrange	超過
outreach	超出
outride	較
outright	率直的
outrival	打敗
outrode	的過去式
outrun	超過
outsail	較
outsell	賣得比
outset	著手
outshine	光亮強過
outside	外面
outside director	外界董事
outside loop	外循環
outsider	外人
outsit	比
outsize	特大的
outskirts	近郊
outsmart	比
outsole	皮鞋的鞋跟
outspan	給牛車卸軛
outspend	用錢超過
outspoken	直言無諱的
outspread	擴張
outstanding	傑出的
outstare	以目光壓倒
outstation	邊防哨
outstay	逗留得比
outstep	超過
outstretch	伸出
outstrip	追過
outvalue	比
outvote	得票多于
outwalk	走路走得比
outward	向外的
outwardly	表面上
outwards	向外地
outwear	穿壞
outweigh	比
outwent	的過去式
outwit	瞞騙
outwore	的過去式
outwork	戶外工作
outworn	過去分詞
ouzel	黑鶇
ova	卵
oval	橢圓形
oval window	卵圓窗
ovalbumin	卵清蛋白
ovarian	子房的
ovariectomy	卵巢切除術
ovariotomy	卵巢切開術
ovaritis	卵巢炎
ovary	卵巢
ovate	卵形的
ovation	熱烈歡迎
oven	烤箱
ovenbird	灶鳥
ovenware	烤箱器皿
over	結束
over-	在上
overact	誇張表演
overactive	活動過度的
overage	過老的
overall	全部的
overarch	在
overarm	上手傳球的
overate	的過去式
overawe	威懾
overbalance	使傾覆
overbear	威壓
overbearing	傲慢的
overbid	出價較
overblown	停息的
overboard	自船上落下
overbold	過于膽大的
overbore	的過去式
overborne	的過去分詞
overbridge	天橋
overbrim	溢出
overbuild	建造過多
overburden	裝載過多
overbusy	太忙的
overbuy	買得過多
overcall	爭叫
overcame	的過去式
overcapitalize	對
overcareful	過分謹慎的
overcast	陰天的
overcharge	討價過高
overcloud	使陰暗
overcoat	外套大衣
overcome	戰勝
overconfident	過于自信的
overcritical	苛求的
overdelicate	過于纖弱的
overdevelop	使過度發達
overdo	做得過分
overdone	的過去分詞
overdose	配藥量過多
overdraft	透支
overdraw	透支
overdrink	飲過量
overdrive	驅使過度
overdue	過期的
overdye	把
overeat	吃過量
overemphasis	過分強調
overemphasize	過分強調
overestimate	評價過高
overexpansion	過度擴充
overexpose	使感光過度
overextend	過分擴展
overfall	湍流
overfatigue	使疲勞過度
overfeed	對
overfill	裝得太多
overfish	對
overflow	溢值
overfly	飛行在
overfulfil	超額完成
overfull	太滿的
overglaze	塗第二層釉
overground	地上的
overgrow	在
overgrown	發育過度的
overgrowth	繁茂
overhand	超手的
overhang	突出部份
overhaul	分解檢查
overhead	經常開支
overhear	無意中聽到
overheat	使過熱
overindulge	溺愛
overindulgence	放縱
overissue	過度發行
overjoyed	狂喜的
overkill	超量毀傷
overladen	裝載過多的
overlain	的過去分詞
overland	經由陸路的
overlap	重疊
overlay	覆蓋
overleaf	在背面
overleap	跳過
overlie	躺在
overload	超載
overlong	太長
overlook	俯瞰
overlooker	監工
overlord	大君主
overly	過度地
overlying	躺在
overman	工頭
overmaster	壓倒
overmatch	優于
overmeasure	過量
overmuch	過多的
overnice	過分講究的
overnight	前一天晚上
overpass	天橋
overpay	多付
overplay	把
overplus	剩餘
overpower	擊敗
overpowering	無法抵抗的
overpraise	過度誇獎
overprice	對
overprint	套印
overproduce	過度地生產
overran	的過去式
overrate	評價過高
overreach	擴展
overreact	反應過度
override	推翻
overriding	骨折端
overripe	過熟的
overrode	的過去式
overrule	統治
overrun	蔓延
oversaw	的過去式
overscan	過掃描
overseas	海外的
oversee	向下看
overseer	監督
oversell	銷售過多
oversensitive	過分敏感的
overset	打翻
oversew	平式縫合
oversexed	性欲過熾的
overshadow	遮陰
overshoe	套鞋
overshoot	打過頭
overshot	上射式的
overside	從船邊
oversight	勘漏
overskirt	罩裙
overslaugh	免去
oversleep	睡過頭
oversleeve	袖套
oversoul	上帝
overspend	過度使用
overspill	溢落的東西
overspread	擴張
overstate	誇大的敘述
overstatement	估值過高
overstay	呆得超過
overstep	踏過
overstock	供給過多
overstrain	伸張過度
overstress	過載
overstrung	繃得太緊的
overstudy	過度用功
overstuff	裝填
oversupply	過度供給
overt	明顯的
overtake	趕上
overtask	使工作過度
overtax	課稅過重
overthrow	推翻
overtime	超時
overtone	泛音
overtop	高聳
overtrain	訓練過度
overtrick	超約得墩
overtrump	王牌蓋吃
overture	主動表示
overturn	傾覆
overtype	改寫
overuse	使用過度
overvalue	估價過高
overview	概述
overweening	驕傲的
overweight	超過重量
overwhelm	淹沒
overwhelming	壓倒性的
overwind	旋得太緊
overwinter	過冬
