a	eɪ	-ā	ㄝㄧ	累加器
New England	njuː ˈɪŋglənd	n-yü- -i-ng-g-l-ə-n-d	ㄋㄡㄨ ㄧㄥㄍㄌㄣㄉ	新英格蘭
New Guinea	njuː ˈgɪni	n-yü- -g-i-n-ē	ㄋㄡㄨ ㄍㄧㄋㄧ	新幾內亞
New Jersey	njuː ˈʤɜːzi	n-yü- -y-û-z-ē	ㄋㄡㄨ ㄓㄦㄗㄧ	新澤西
New Orleans	njuː ˈɔːlɪənz	n-yü- -ô-l-ē-ə-n-z	ㄋㄡㄨ ㄛㄌㄧㄣㄗ	新奧爾良
New Style	njuː staɪl	n-yü- -s-t-ī-l	ㄋㄡㄨ ㄙㄉㄚㄧㄌ	新式
new year	njuː jɪə	n-yü- -y-ē-ə	ㄋㄡㄨ ㄡㄧㄦ	新年
New Year's Day	njuː jɪəz deɪ	n-yü- -y-ē-ə-z- -d-ā	ㄋㄡㄨ ㄡㄧㄦㄗ ㄉㄝㄧ	元旦
New York	njuː jɔːk	n-yü- -y-ô-k	ㄋㄡㄨ ㄡㄛㄍ	紐約
New Zealand	njuː ˈziːlənd	n-yü- -z-ē-l-ə-n-d	ㄋㄡㄨ ㄗㄧㄌㄣㄉ	新西蘭
new-laid	ˈnjuːleɪd	n-yü-l-ā-d	ㄋㄡㄨㄌㄝㄧㄉ	剛生下的
new-style	njuː-staɪl	n-yü-s-t-ī-l	ㄋㄡㄨ-ㄙㄉㄚㄧㄌ	新式的
newbie	newbie	n-e-w-b-ē-e	ㄋㄝㄨㄅㄧㄝ	新成員
newborn	ˈnjuːbɔːn	-n-yü-b-ô-n	ㄋㄡㄨㄅㄛㄋ	嬰兒
Newcastle disease	ˈnjuːˌkɑːs(ə)l dɪˈziːz	n-yü-k-ä-s-ə--l- -d-i-z-ē-z	ㄋㄡㄨㄍㄚㄙㄦㄌ ㄉㄧㄗㄧㄗ	新城病
newcomer	ˈnjuːˌkʌmə	n-yü-k-u-m-ə	ㄋㄡㄨㄍㄨㄇㄦ	新來者
newel	ˈnjuːəl	n-yü-ə-l	ㄋㄡㄨㄦㄌ	中心柱
newfangled	ˈnjuːˌfæŋgld	n-yü-f-a-ng-g-l-d	ㄋㄡㄨㄈㄚㄥㄍㄌㄉ	新奇的
newfound	ˈnjuːfaʊnd	n-yü-f-o-w-n-d	ㄋㄡㄨㄈㄚㄡㄋㄉ	新發現的
Newfoundland	nju(ː)ˈfaʊndlənd	n-yü---f-o-w-n-d-l-ə-n-d	ㄋㄡㄨㄈㄚㄡㄋㄉㄌㄣㄉ	紐芬蘭
Newgate	ˈnjuːgɪt	n-yü-g-i-t	ㄋㄡㄨㄍㄧㄉ	紐蓋特監獄
newly	ˈnjuːli	n-yü-l-ē	ㄋㄡㄨㄌㄧ	重新
news	njuːz	n-yü-z	ㄋㄡㄨㄗ	新聞
news agency	njuːz ˈeɪʤənsi	n-yü-z- -ā-y-ə-n-s-ē	ㄋㄡㄨㄗ ㄝㄧㄓㄣㄙㄧ	通訊社
news conference	njuːz ˈkɒnfərəns	n-yü-z- -k-o-n-f-ə-r-ə-n-s	ㄋㄡㄨㄗ ㄍㄛㄋㄈㄦㄖㄣㄙ	記者招待會
newsagent	ˈnjuːzˌeɪʤ(ə)nt	n-yü-z-ā-y-ə--n-t	ㄋㄡㄨㄗㄝㄧㄓㄦㄋㄉ	報刊經銷商
newsboy	ˈnjuːzbɔɪ	n-yü-z-b-o-ē	ㄋㄡㄨㄗㄅㄛㄧ	報童
newscast	ˈnjuːzkɑːst	n-yü-z-k-ä-s-t	ㄋㄡㄨㄗㄍㄚㄙㄉ	新聞廣播
newscaster	ˈnjuːzˌkɑːstə	n-yü-z-k-ä-s-t-ə	ㄋㄡㄨㄗㄍㄚㄙㄉㄦ	新聞廣播員
newsflash	newsflash	n-e-w-s-f-l-a-s-h	ㄋㄝㄨㄙㄈㄌㄚㄙㄏ	簡明新聞
newsgroup	ˈnjuːzgruːp	n-yü-z-g-r-ū-p	ㄋㄡㄨㄗㄍㄖㄨㄅ	新聞組
newshound	newshound	n-e-w-s-h-o-ū-n-d	ㄋㄝㄨㄙㄏㄡㄋㄉ	新聞記者
newsletter	ˈnjuːzˌlɛtə	n-yü-z-l-é-t-ə	ㄋㄡㄨㄗㄌㄜㄉㄦ	時事通訊
newsman	ˈnjuːzmæn	n-yü-z-m-a-n	ㄋㄡㄨㄗㄇㄚㄋ	報童
newspaper	ˈnjuːzˌpeɪpə	n-yü-z-p-ā-p-ə	ㄋㄡㄨㄗㄅㄝㄧㄅㄦ	報紙
newspaperman	newspaperman	n-e-w-s-p-a-p-e-r-m-a-n	ㄋㄝㄨㄙㄅㄚㄅㄝㄖㄇㄢ	新聞記者
newsprint	ˈnjuːzprɪnt	n-yü-z-p-r-i-n-t	ㄋㄡㄨㄗㄅㄖㄧㄋㄉ	新聞紙
newsreader	ˈnjuːzˌriːdə	n-yü-z-r-ē-d-ə	ㄋㄡㄨㄗㄖㄧㄉㄦ	新聞廣播員
newsreel	ˈnjuːzriːl	n-yü-z-r-ē-l	ㄋㄡㄨㄗㄖㄧㄌ	新聞影片
newsroom	ˈnjuːzrʊm	n-yü-z-r-oo-m	ㄋㄡㄨㄗㄖㄡㄇ	新聞編輯部
newsy	ˈnjuːzi	n-yü-z-ē	ㄋㄡㄨㄗㄧ	多新聞的
newt	njuːt	n-yü-t	ㄋㄡㄨㄉ	水螈
newton	ˈnjuːt(ə)n	n-yü-t-ə--n	ㄋㄡㄨㄉㄦㄋ	牛頓
Newton's rings	ˈnjuːt(ə)nz rɪŋz	n-yü-t-ə--n-z- -r-i-ng-z	ㄋㄡㄨㄉㄦㄋㄗ ㄖㄧㄥㄗ	牛頓環
Newtonian	nju(ː)ˈtəʊnjən	n-yü---t-ə-oo-n-y-ə-n	ㄋㄡㄨㄉㄦㄡㄋㄡㄣ	牛頓的
next	nɛkst	n-é-k-s-t	ㄋㄜㄍㄙㄉ	下一個
next door	nɛkst dɔː	n-é-k-s-t- -d-ô	ㄋㄜㄍㄙㄉ ㄉㄛ	隔壁
next of kin	nɛkst ɒv kɪn	n-é-k-s-t- -o-v- -k-i-n	ㄋㄜㄍㄙㄉ ㄛㄈ ㄍㄧㄋ	最近親
nexus	ˈnɛksəs	n-é-k-s-ə-s	ㄋㄜㄍㄙㄦㄙ	連結
ng	ng	n-g-	ㄋㄍ	硝化甘油
Ni	Ni	N-ē	Nㄧ	鎳
niacin	niacin	n-ē-ac-ē-n	ㄋㄧㄚㄕㄧㄋ	煙堿酸
nib	nɪb	n-i-b	ㄋㄧㄅ	嘴
nibble	ˈnɪbl	n-i-b-l	ㄋㄧㄅㄌ	少量食物
nibs	nɪbz	n-i-b-z	ㄋㄧㄅㄗ	上司
NIC	ɛn-aɪ-siː	é-n-ī-s-ē	ㄜㄋ-ㄚㄧ-ㄙㄧ	網絡接口卡
Nicaragua	ˌnɪkərˈægjʊə	n-i-k-ə-r-a-g-y-ü-ə	ㄋㄧㄍㄦㄖㄚㄍㄡㄡㄦ	尼加拉瓜
nice	naɪs	n-ī-s	ㄋㄚㄧㄙ	美好的
nicely	ˈnaɪsli	n-ī-s-l-ē	ㄋㄚㄧㄙㄌㄧ	漂亮地
nicety	ˈnaɪsɪti	n-ī-s-i-t-ē	ㄋㄚㄧㄙㄧㄉㄧ	美好
niche	nɪʧ	n-i-ch	ㄋㄧㄓ	壁龕
nichrome	nichrome	n-ē-c-h-r-o-m-e	ㄋㄧㄕㄏㄖㄛㄇㄝ	鎳鉻合金
nick	nɪk	-n-i-k	ㄋㄧㄍ	刻痕
nickel	ˈnɪkl	n-i-k-l	ㄋㄧㄍㄌ	鎳
nickel brass	ˈnɪkl brɑːs	n-i-k-l- -b-r-ä-s	ㄋㄧㄍㄌ ㄅㄖㄚㄙ	鎳黃銅
nickel silver	ˈnɪkl ˈsɪlvə	n-i-k-l- -s-i-l-v-ə	ㄋㄧㄍㄌ ㄙㄧㄌㄈㄦ	鎳銀
nickel steel	ˈnɪkl stiːl	n-i-k-l- -s-t-ē-l	ㄋㄧㄍㄌ ㄙㄉㄧㄌ	鎳鋼
nicker	ˈnɪkə	n-i-k-ə	ㄋㄧㄍㄦ	嘶叫
nickname	ˈnɪkneɪm	n-i-k-n-ā-m-	ㄋㄧㄍㄋㄝㄧㄇ	綽號
Nicol prism	Nicol ˈprɪzm	N-ē-co-l- -p-r-i-z-m	Nㄧㄕㄛㄌ ㄅㄖㄧㄗㄇ	尼科耳稜鏡
nicotine	ˈnɪkətiːn	n-i-k-ə-t-ē-n	ㄋㄧㄍㄦㄉㄧㄋ	煙堿
nicotinic acid	nicotinic ˈæsɪd	n-ē-co-t-ē-n-ē-c -a-s-i-d	ㄋㄧㄕㄛㄉㄧㄋㄧㄕ ㄚㄙㄧㄉ	煙堿酸
nictation	nɪkˈteɪʃən	n-i-k-t-ā-sh-ə-n	ㄋㄧㄍㄉㄝㄧㄕㄣ	瞬眼
nidation	nidation	n-ē-d-a-t-ē-o-n	ㄋㄧㄉㄚㄉㄧㄛㄋ	營巢
nidification	nidification	n-ē-d-ē-f-ē-ca-t-ē-o-n	ㄋㄧㄉㄧㄈㄧㄕㄚㄉㄧㄛㄋ	築巢
nidus	ˈnaɪdəs	n-ī-d-ə-s	ㄋㄚㄧㄉㄦㄙ	孳生地
niece	niːs	n-ē-s	ㄋㄧㄙ	姪女
nifedipine	nifedipine	n-ē-f-e-d-ē-p-ē-n-e	ㄋㄧㄈㄝㄉㄧㄅㄧㄋㄝ	硝苯地平
niff	niff	-n-ē-f-f	ㄋㄧㄈㄈ	臭氣
nifty	ˈnɪfti	n-i-f-t-ē	ㄋㄧㄈㄉㄧ	俏皮的
Niger	ˈnaɪʤə	n-ī-y-ə	ㄋㄚㄧㄓㄦ	尼日爾
Nigeria	naɪˈʤɪərɪə	n-ī-y-ē-ə-r-ē-ə	ㄋㄚㄧㄓㄧㄦㄖㄧㄦ	尼日利亞
niggard	ˈnɪgəd	n-i-g-ə-d	ㄋㄧㄍㄦㄉ	吝嗇鬼
niggardly	ˈnɪgədli	n-i-g-ə-d-l-ē	ㄋㄧㄍㄦㄉㄌㄧ	小氣的
nigger	ˈnɪgə	n-i-g-ə	ㄋㄧㄍㄦ	黑人
niggle	ˈnɪgl	n-i-g-l	ㄋㄧㄍㄌ	閒混
nigh	naɪ	n-ī	ㄋㄚㄧ	在附近的
night	naɪt	n-ī-t	ㄋㄚㄧㄉ	夜
night blindness	naɪt ˈblaɪndnɪs	n-ī-t- -b-l-ī-n-d-n-i-s	ㄋㄚㄧㄉ ㄅㄌㄚㄧㄋㄉㄋㄧㄙ	夜盲
night court	naɪt kɔːt	n-ī-t- -k-ô-t	ㄋㄚㄧㄉ ㄍㄛㄉ	夜間法庭
night school	naɪt skuːl	n-ī-t- -s-k-ū-l	ㄋㄚㄧㄉ ㄙㄍㄨㄌ	夜校
night shift	naɪt ʃɪft	n-ī-t- -sh-i-f-t	ㄋㄚㄧㄉ ㄕㄧㄈㄉ	夜班
night soil	naɪt sɔɪl	n-ī-t- -s-o-ē-l	ㄋㄚㄧㄉ ㄙㄛㄧㄌ	人糞尿
night terrors	naɪt ˈtɛrəz	n-ī-t- -t-é-r-ə-z	ㄋㄚㄧㄉ ㄉㄜㄖㄦㄗ	夜驚
night vision	naɪt ˈvɪʒən	n-ī-t- -v-i-zh-ə-n	ㄋㄚㄧㄉ ㄈㄧㄓㄣ	夜間視覺
night-blooming cereus	naɪt-ˈbluːmɪŋ cereus	n-ī-t-b-l-ū-m-i-ng- ce-r-e-ū-s	ㄋㄚㄧㄉ-ㄅㄌㄨㄇㄧㄥ ㄕㄝㄖㄝㄨㄙ	夜花仙人掌
nightclothes	ˈnaɪtkləʊðz	n-ī-t-k-l-ə-oo-t-h-z	ㄋㄚㄧㄉㄍㄌㄦㄡㄘㄗ	睡衣
nightclub	ˈnaɪtklʌb	n-ī-t-k-l-u-b	ㄋㄚㄧㄉㄍㄌㄨㄅ	夜總會
nightdress	ˈnaɪtdrɛs	n-ī-t-d-r-é-s	ㄋㄚㄧㄉㄉㄖㄜㄙ	女式睡衣
nightfall	ˈnaɪtfɔːl	n-ī-t-f-ô-l	ㄋㄚㄧㄉㄈㄛㄌ	傍晚
nightgown	ˈnaɪtgaʊn	n-ī-t-g-o-w-n	ㄋㄚㄧㄉㄍㄚㄡㄋ	女式睡衣
nightie	ˈnaɪti	n-ī-t-ē	ㄋㄚㄧㄉㄧ	女式睡衣
nightingale	ˈnaɪtɪŋgeɪl	n-ī-t-i-ng-g-ā-l	ㄋㄚㄧㄉㄧㄥㄍㄝㄧㄌ	夜鶯
nightlife	ˈnaɪtlaɪf	n-ī-t-l-ī-f	ㄋㄚㄧㄉㄌㄚㄧㄈ	夜生活
nightlong	ˈnaɪtlɒŋ	n-ī-t-l-o-ng	ㄋㄚㄧㄉㄌㄛㄥ	通宵的
nightly	ˈnaɪtli	n-ī-t-l-ē	ㄋㄚㄧㄉㄌㄧ	每夜的
nightmare	ˈnaɪtmeə	n-ī-t-m-ã	ㄋㄚㄧㄉㄇㄝㄦ	夢魘
nightmarish	ˈnaɪtmeərɪʃ	n-ī-t-m-ã-r-i-sh	ㄋㄚㄧㄉㄇㄝㄦㄖㄧㄕ	夢魘似的
nightshade	ˈnaɪʧəɪd	n-ī-ch-ə-i-d	ㄋㄚㄧㄓㄦㄧㄉ	茄屬植物
nightstick	ˈnaɪtstɪk	n-ī-t-s-t-i-k	ㄋㄚㄧㄗㄉㄧㄍ	警棍
nightwear	ˈnaɪtweə	n-ī-t-w-ã	ㄋㄚㄧㄉㄨㄝㄦ	睡衣
nigrescent	naɪˈgrɛsənt	n-ī-g-r-é-s-ə-n-t	ㄋㄚㄧㄍㄖㄜㄙㄣㄉ	發黑的
nigritude	ˈnɪgrɪtjuːd	n-i-g-r-i-t-yü-d	ㄋㄧㄍㄖㄧㄉㄡㄨㄉ	黑
nihilism	nihilism	n-ē-h-ē-l-ē-s-m	ㄋㄧㄏㄧㄌㄧㄙㄇ	虛無主義
nihilistic	ˌnaɪɪˈlɪstɪk	n-ī-i-l-i-s-t-i-k	ㄋㄚㄧㄧㄌㄧㄙㄉㄧㄍ	虛無主義的
nihility	nihility	n-ē-h-ē-l-ē-t-y	ㄋㄧㄏㄧㄌㄧㄉㄩ	虛無
Nike	ˈnaɪkiː	-n-ī-k-ē-	ㄋㄚㄧㄍㄧ	勝利女神
Nikkei index	Nikkei ˈɪndɛks	N-ē-k-k-e-ē- -i-n-d-é-k-s	Nㄧㄍㄍㄟ ㄧㄋㄉㄜㄍㄙ	日經指數
nil	nɪl	n-i-l	ㄋㄧㄌ	無
Nile	naɪl	n-ī-l	ㄋㄚㄧㄌ	尼羅河
nimble	ˈnɪmbl	n-i-m-b-l	ㄋㄧㄇㄅㄌ	敏捷的
nimbly	ˈnɪmbli	n-i-m-b-l-ē	ㄋㄧㄇㄅㄌㄧ	敏捷地
nimbostratus	nimbostratus	n-ē-m-b-o-s-t-r-a-t-ū-s	ㄋㄧㄇㄅㄛㄙㄉㄖㄚㄉㄨㄙ	雨層雲
nimbus	ˈnɪmbəs	n-i-m-b-ə-s	ㄋㄧㄇㄅㄦㄙ	幻雲
niminy-piminy	ˈnɪmɪnɪˈpɪmɪni	n-i-m-i-n-i-p-i-m-i-n-ē	ㄋㄧㄇㄧㄋㄧㄅㄧㄇㄧㄋㄧ	做作的
nimrod	nimrod	n-ē-m-r-o-d	ㄋㄧㄇㄖㄛㄉ	寧錄
nincompoop	ˈnɪnkəmpuːp	n-i-n-k-ə-m-p-ū-p	ㄋㄧㄋㄍㄦㄇㄅㄨㄅ	笨人
nine	naɪn	n-ī-n	ㄋㄚㄧㄋ	九
ninefold	ˈnaɪnfəʊld	n-ī-n-f-ə-oo-l-d	ㄋㄚㄧㄋㄈㄦㄡㄌㄉ	九倍的
nineteen	ˈnaɪnˈtiːn	n-ī-n-t-ē-n	ㄋㄚㄧㄋㄉㄧㄋ	十九
ninety	ˈnaɪnti	n-ī-n-t-ē	ㄋㄚㄧㄋㄉㄧ	九十
ninny	ˈnɪni	n-i-n-ē	ㄋㄧㄋㄧ	笨人
ninth	naɪnθ	n-ī-n-th	ㄋㄚㄧㄋㄊ	第九
niobium	naɪˈəʊbɪəm	n-ī-ə-oo-b-ē-ə-m	ㄋㄚㄧㄦㄡㄅㄧㄦㄇ	鈮
nip	nɪp	n-i-p	ㄋㄧㄅ	捏
nip and tuck	nɪp ænd tʌk	n-i-p- -a-n-d- -t-u-k	ㄋㄧㄅ ㄚㄋㄉ ㄉㄨㄍ	勢均力敵
nipa	nipa	n-ē-p-a	ㄋㄧㄅㄚ	聶帕櫚
nipper	ˈnɪpə	-n-i-p-ə	ㄋㄧㄅㄦ	鑷子
nipple	ˈnɪpl	n-i-p-l	ㄋㄧㄅㄌ	乳頭
nippy	ˈnɪpi	n-i-p-ē	ㄋㄧㄅㄧ	刺骨的
nirvana	nɪəˈvɑːnə	n-ē-ə-v-ä-n-ə	ㄋㄧㄦㄈㄚㄋㄦ	天堂
nisi	ˈnaɪsaɪ	n-ī-s-ī	ㄋㄚㄧㄙㄚㄧ	除非
nit	nɪt	n-i-t	ㄋㄧㄉ	沒用的人
nitery	nitery	n-ē-t-e-r-y	ㄋㄧㄉㄝㄖㄩ	夜總會
nitrate	ˈnaɪtreɪt	-n-ī-t-r-ā-t	ㄋㄚㄧㄉㄖㄝㄧㄉ	硝酸鹽
nitrazepam	nitrazepam	n-ē-t-r-a-z-e-p-a-m	ㄋㄧㄉㄖㄚㄗㄝㄅㄚㄇ	硝西泮
nitre	ˈnaɪtə	n-ī-t-ə	ㄋㄚㄧㄉㄦ	硝石
nitric	ˈnaɪtrɪk	n-ī-t-r-i-k	ㄋㄚㄧㄉㄖㄧㄍ	氮的
nitric acid	ˈnaɪtrɪk ˈæsɪd	n-ī-t-r-i-k- -a-s-i-d	ㄋㄚㄧㄉㄖㄧㄍ ㄚㄙㄧㄉ	硝酸
nitric oxide	ˈnaɪtrɪk ˈɒksaɪd	n-ī-t-r-i-k- -o-k-s-ī-d	ㄋㄚㄧㄉㄖㄧㄍ ㄛㄍㄙㄚㄧㄉ	一氧化氮
nitride	nitride	n-ē-t-r-ē-d-e	ㄋㄧㄉㄖㄧㄉㄝ	氮化物
nitrify	ˈnaɪtrɪfaɪ	-n-ī-t-r-i-f-ī	ㄋㄚㄧㄉㄖㄧㄈㄚㄧ	使與氮化合
nitrite	ˈnaɪtraɪt	n-ī-t-r-ī-t	ㄋㄚㄧㄉㄖㄚㄧㄉ	亞硝酸鹽
nitro-	nitro-	n-ē-t-r-o	ㄋㄧㄉㄖㄛ-	硝基
nitrobenzene	nitrobenzene	n-ē-t-r-o-b-e-n-z-e-n-e	ㄋㄧㄉㄖㄛㄅㄝㄋㄗㄝㄋㄝ	硝基苯
nitrocellulose	nitrocellulose	-n-ē-t-r-oce-l-l-ū-l-o-s-e	ㄋㄧㄉㄖㄛㄕㄝㄌㄌㄨㄌㄛㄙㄝ	硝化纖維
nitrochalk	nitrochalk	-n-ē-t-r-oc-h-a-l-k	ㄋㄧㄉㄖㄛㄕㄏㄚㄌㄍ	白堊硝
nitrogen	ˈnaɪtrəʤən	n-ī-t-r-ə-y-ə-n	ㄋㄚㄧㄉㄖㄦㄓㄣ	氮
nitrogen cycle	ˈnaɪtrəʤən ˈsaɪkl	n-ī-t-r-ə-y-ə-n- -s-ī-k-l	ㄋㄚㄧㄉㄖㄦㄓㄣ ㄙㄚㄧㄍㄌ	氮循環
nitrogen dioxide	ˈnaɪtrəʤən daɪˈɒksaɪd	n-ī-t-r-ə-y-ə-n- -d-ī-o-k-s-ī-d	ㄋㄚㄧㄉㄖㄦㄓㄣ ㄉㄚㄧㄛㄍㄙㄚㄧㄉ	二氧化氮
nitrogen fixation	ˈnaɪtrəʤən fɪkˈseɪʃən	n-ī-t-r-ə-y-ə-n- -f-i-k-s-ā-sh-ə-n	ㄋㄚㄧㄉㄖㄦㄓㄣ ㄈㄧㄍㄙㄝㄧㄕㄣ	固氮
nitrogen monoxide	ˈnaɪtrəʤən mɒˈnɒksaɪd	n-ī-t-r-ə-y-ə-n- -m-o-n-o-k-s-ī-d	ㄋㄚㄧㄉㄖㄦㄓㄣ ㄇㄛㄋㄛㄍㄙㄚㄧㄉ	一氧化二氮
nitrogen mustard	ˈnaɪtrəʤən ˈmʌstəd	n-ī-t-r-ə-y-ə-n- -m-u-s-t-ə-d	ㄋㄚㄧㄉㄖㄦㄓㄣ ㄇㄨㄙㄉㄦㄉ	氮芥
nitrogenous	naɪˈtrɒʤɪnəs	n-ī-t-r-o-y-i-n-ə-s	ㄋㄚㄧㄉㄖㄛㄓㄧㄋㄦㄙ	氮的
nitroglycerine	ˈnaɪtrəʊglɪsəˈriːn	n-ī-t-r-ə-oo-g-l-i-s-ə-r-ē-n	ㄋㄚㄧㄉㄖㄦㄡㄍㄌㄧㄙㄦㄖㄧㄋ	硝化甘油
nitromethane	nitromethane	n-ē-t-r-o-m-e-t-h-a-n-e	ㄋㄧㄉㄖㄛㄇㄝㄉㄏㄢㄝ	硝基甲烷
nitrosamine	nitrosamine	-n-ē-t-r-o-s-a-m-ē-n-e	ㄋㄧㄉㄖㄛㄙㄚㄇㄧㄋㄝ	亞硝胺
nitrous	ˈnaɪtrəs	-n-ī-t-r-ə-s	ㄋㄚㄧㄉㄖㄦㄙ	氮的
nitrous acid	ˈnaɪtrəs ˈæsɪd	n-ī-t-r-ə-s- -a-s-i-d	ㄋㄚㄧㄉㄖㄦㄙ ㄚㄙㄧㄉ	亞硝酸
nitrous oxide	ˈnaɪtrəs ˈɒksaɪd	n-ī-t-r-ə-s- -o-k-s-ī-d	ㄋㄚㄧㄉㄖㄦㄙ ㄛㄍㄙㄚㄧㄉ	一氧化二氮
nitty-gritty	ˈnɪti-ˈgrɪti	n-i-t-ē-g-r-i-t-ē	ㄋㄧㄉㄧ-ㄍㄖㄧㄉㄧ	事實真相
nitwit	ˈnɪtwɪt	n-i-t-w-i-t	ㄋㄧㄉㄨㄧㄉ	笨人
nival	ˈnaɪvəl	n-ī-v-ə-l	ㄋㄚㄧㄈㄦㄌ	雪的
nix	nɪks	n-i-k-s	ㄋㄧㄍㄙ	無
NL	ɛn-ɛl	é-n-é-l	ㄜㄋ-ㄜㄌ	換行
nm	nm	n-m	ㄋㄇ	納米
NMR	ɛn-ɛm-ɑː	é-n-é-m-ä	ㄜㄋ-ㄜㄇ-ㄚ	核磁共振
no go	nəʊ gəʊ	n-ə-oo- -g-ə-oo	ㄋㄦㄡ ㄍㄦㄡ	不行
no side	nəʊ saɪd	n-ə-oo- -s-ī-d	ㄋㄦㄡ ㄙㄚㄧㄉ	比賽完畢
no-account	nəʊ-əˈkaʊnt	n-ə-oo-ə-k-o-w-n-t	ㄋㄦㄡ-ㄦㄍㄚㄡㄋㄉ	無價值的
no-ball	nəʊ-bɔːl	n-ə-oo-b-ô-l	ㄋㄦㄡ-ㄅㄛㄌ	犯規投球
no-go area	nəʊ-gəʊ ˈeərɪə	n-ə-oo-g-ə-oo- -ã-r-ē-ə	ㄋㄦㄡ-ㄍㄦㄡ ㄝㄦㄖㄧㄦ	禁區
no-good	nəʊ-gʊd	n-ə-oo-g-oo-d	ㄋㄦㄡ-ㄍㄡㄉ	毫無用處的
no-hitter	nəʊ-ˈhɪtə	n-ə-oo-h-i-t-ə	ㄋㄦㄡ-ㄏㄧㄉㄦ	無安打球賽
no-knock	nəʊ-nɒk	n-ə-oo-n-o-k	ㄋㄦㄡ-ㄋㄛㄍ	強行闖入的
no-man's-land	nəʊ-mænz-lænd	n-ə-oo-m-a-n-z-l-a-n-d	ㄋㄦㄡ-ㄇㄚㄋㄗ-ㄌㄚㄋㄉ	荒地
no-no	nəʊ-nəʊ	n-ə-oo-n-ə-oo	ㄋㄦㄡ-ㄋㄦㄡ	不可作之事
no-nonsense	nəʊ-ˈnɒnsəns	n-ə-oo-n-o-n-s-ə-n-s	ㄋㄦㄡ-ㄋㄛㄋㄙㄣㄙ	不胡鬧的
No.	nəʊ.	n-ə-oo-.	ㄋㄦㄡ.	號碼
noah	ˈnəʊə	-n-ə-ü-ə	ㄋㄦㄡㄦ	諾亞
Noah's ark	ˈnəʊəz ɑːk	n-ə-ü-ə-z- -ä-k	ㄋㄦㄡㄦㄗ ㄚㄍ	諾亞方舟
nob	nɒb	n-o-b	ㄋㄛㄅ	頭
nobble	ˈnɒbl	n-o-b-l	ㄋㄛㄅㄌ	詐騙
Nobel Prize	nəʊˈbɛl praɪz	n-ə-oo-b-é-l- -p-r-ī-z	ㄋㄦㄡㄅㄜㄌ ㄅㄖㄚㄧㄗ	諾貝爾獎
nobiliary	nəʊˈbɪljəri	n-ə-oo-b-i-l-y-ə-r-ē	ㄋㄦㄡㄅㄧㄌㄡㄦㄖㄧ	貴族的
nobility	nəʊˈbɪlɪti	n-ə-oo-b-i-l-i-t-ē	ㄋㄦㄡㄅㄧㄌㄧㄉㄧ	貴族
noble	ˈnəʊbl	n-ə-oo-b-l	ㄋㄦㄡㄅㄌ	貴族
noble gas	ˈnəʊbl gæs	n-ə-oo-b-l- -g-a-s	ㄋㄦㄡㄅㄌ ㄍㄚㄙ	惰性氣體
noble metal	ˈnəʊbl ˈmɛtl	n-ə-oo-b-l- -m-é-t-l	ㄋㄦㄡㄅㄌ ㄇㄜㄉㄌ	貴金屬
nobleman	ˈnəʊblmən	n-ə-oo-b-l-m-ə-n	ㄋㄦㄡㄅㄌㄇㄣ	貴族
noblewoman	ˈnəʊblˌwʊmən	n-ə-oo-b-l-w-oo-m-ə-n	ㄋㄦㄡㄅㄌㄨㄡㄇㄣ	女貴族
nobody	ˈnəʊbədi	n-ə-oo-b-ə-d-ē	ㄋㄦㄡㄅㄦㄉㄧ	小人物
nociceptive	nociceptive	n-oc-ē-ce-p-t-ē-v-e	ㄋㄛㄕㄧㄕㄝㄅㄉㄧㄈㄝ	感受傷害的
nociceptor	nociceptor	-n-oc-ē-ce-p-t-o-r	ㄋㄛㄕㄧㄕㄝㄅㄉㄛㄖ	傷害感受器
noctiluca	noctiluca	n-oc-t-ē-l-ū-ca	ㄋㄛㄕㄉㄧㄌㄨㄕㄚ	夜光蟲
nocturn	nocturn	-n-oc-t-ū-r-n	ㄋㄛㄕㄉㄨㄖㄋ	夜禱
nocturnal	nɒkˈtɜːnl	n-o-k-t-û-n-l	ㄋㄛㄍㄉㄦㄋㄌ	夜的
nocturnal emission	nɒkˈtɜːnl ɪˈmɪʃən	n-o-k-t-û-n-l- -i-m-i-sh-ə-n	ㄋㄛㄍㄉㄦㄋㄌ ㄧㄇㄧㄕㄣ	夢遺
nocturne	ˈnɒktɜːn	n-o-k-t-û-n	ㄋㄛㄍㄉㄦㄋ	夜曲
nocuous	ˈnɒkjʊəs	n-o-k-y-ü-ə-s	ㄋㄛㄍㄡㄡㄦㄙ	有毒的
nod	nɒd	n-o-d	ㄋㄛㄉ	點頭
noddle	ˈnɒdl	n-o-d-l	ㄋㄛㄉㄌ	頭
noddy	ˈnɒdi	n-o-d-ē	ㄋㄛㄉㄧ	笨人
node	nəʊd	n-ə-oo-d	ㄋㄦㄡㄉ	節
nodical	ˈnəʊdɪkl	n-ə-oo-d-i-k-l	ㄋㄦㄡㄉㄧㄍㄌ	交點的
nodose	ˈnəʊdəs	n-ə-oo-d-ə-s	ㄋㄦㄡㄉㄦㄙ	有節的
nodule	ˈnɒdjuːl	n-o-d-yü-l	ㄋㄛㄉㄡㄨㄌ	小節
nodus	ˈnəʊdəs	n-ə-oo-d-ə-s	ㄋㄦㄡㄉㄦㄙ	節
