ກ	A	k
ໂຢຮັນ	John	oyn
ໂຢຮັນ^ເອີຍ	John^yes	oyn^e`iiny
ໂຢຮັນນາ	John's	oynnaa
ໂຢຮາ	John	oyaa
ໂຢຮານັນ	Johann	oyaann
ໂຢຮານານ	Johanan	oyaanaan
ຣັກກັດ	Raqqat	rkkd
ຣັກໂກນ	Raccoon	rkokn
ຣັດສະໝີ	Radius	rdsahmii
ຣັດດາຍ	Radha	rddaany
ຣັບບາ	Rabbah	rbbaa
ຣັບບິດ	Rabbit	rbbid
ຣັບບີ	Rabbi	rbbii
ຣັບໂບນີ	Rabbi	rbobnii
ຣາການ	King	raakaan
ຣາຄະ	King	raakha
ຣາຄະ^ຕັນຫາ	Desire	raakha^hnhaa
ຣາຄີ	Rakhi	raakhii
ຣາຊ	King	raas
ຣາຊ^ອານາຈັກ	Kingdom	raas^`aanaachk
ຣາຊການ	Government	raaskaan
ຣາຊສຳນັກ	Royal office	raassamnk
ຣາຊສົມບັດ	Royal property	raassombd
ຣາຊທານ	Royal gift	raasthaan
ຣາຊທູດ	Ambassador	raasthuud
ຣາຊບັນຍັດ	Royal decree	raasbnnyd
ຣາຊບັນລັງ	Throne	raasbnlng
ຣາຊແຜ່ນດິນ	Kingdom	raaseiphndin
ຣາຊມົນຕີ	Minister	raasmonhii
ຣາຊວັງ	Royal palace	raaswng
ຣາຊວົງ	Royal family	raaswong
ຣາຊອານາຈັກ	Kingdom	raas`aanaachk
ຣາຊອຳນາດ	Royal power	raas`amnaad
ຣາຊາ	King	raasaa
ຣາຊາ^ເຈົ້າ	King, you	raasaa^echoaa
ຣາຊາເຈົ້າ	Your Majesty	raasaaechoaa
ຣາຊິນີ	Queen	raasinii
ຣາຊີນີ	Queen	raasiinii
ຣາເຊັນ	Signature	raaesn
ຣາເຊັນ^ເອີຍ	Rachel, yes.	raaesn^e`iiny
ຣາພາ	Raph	raaphaa
ຣາຟາ	Rafa	raafaa
ຣາມ	Ram	raam
ຣາມັດມີຊະເປ	Ramat Mizpah	raamdmiisaep
ຣາມັດເລຮີ	Ramoth-lehi	raamdelii
ຣາມາ	Rama	raamaa
ຣາມາເຊັດ	Ramses	raamaaesd
ຣາມີຢາ	Ramiya	raamiiyaa
ຣາໂມດ	Ramoth	raaomd
ຣາອາມາ	Raama	raa`aamaa
ຣາອາມີຢາ	Raamiya	raa`aamiiyaa
ຣາຮາບ	Rahab	raaaab
ຣິຊາທາອິມ	Rizathaim	risaathaa`im
ຣິດ	Power	rid
ຣິດ^ເດຊາ^ນຸພາບ	Power	rid^edsaa^nuphaab
ຣິດ^ອຳນາດ	Power	rid^`amnaad
ຣິດ^ເອີຍ	Oh my God.	rid^e`iiny
ຣິດສາ	Power	ridsaa
ຣິດເດດ	Strength	ridedd
ຣິດເດດ^ອຳນາດ	Power	ridedd^`amnaad
ຣິດເດດອຳນາດ	Power	ridedd`amnaad
ຣິດທະນຸພາບ	Power	ridthanuphaab
ຣິດທານຸພາບ	Power	ridthaanuphaab
ຣິດທານຸພາບ||ຂອງ	Power||of	ridthaanuphaab||kh`ng
ຣິດອຳນາດ	Power	rid`amnaad
ຣິດອຳນາດ^ຍິ່ງໃຫຍ່	Great power	rid`amnaad^nyingayhny
ຣິນນາ	Rinna	rinnaa
ຣິບລາ	Ribla	riblaa
ຣິມໂມນ	Rimmon	rimomn
ຣີຊີອາ	Resia	riisii`aa
ຣີທະມາ	Rhythm	riithamaa
ຣີໄບ	Rebbe	riiaib
ຣີຟາດ	Rifat	riifaad
ຣີມໂມນເປເຣັດ	Rimmon Peretz	riimomneperd
ຣີມໂມໂນ	Remono	riimomon
ຣຸດ	Ruth	rud
ຣຸດ^ເອີຍ	Ruth	rud^e`iiny
ຣູເບັນ	Reuben	ruuebn
ຣູໂຟ	Rufo	ruuof
ຣູມາ	Ruma	ruumaa
ຣົດ	Car	rod
ຣົດ^ຂົມ	Bitter taste	rod^khom
ຣົດ^ເຄັມ	Salty	rod^ekhm
ຣົດ^ຫວານ	Sweet	rod^hwaan
ຣົດຊາດ	Taste	rodsaad
ຣົດຊາດ^ແຊບ	Delicious taste	rodsaad^eisb
ເຣກາບ	Recab	erkaab
ເຣເກມ	Reggae	erekm
ເຣເກມ^ເມເຫລັກ	Regem^Melk	erekm^emehlk
ເຣຄີໂອມ	Requiem	erkhiio`m
ເຣເຄມ	Rekem	erekhm
ເຣສາ	Resa	ersaa
ເຣເສັນ	Reason	eresn
ເຣຊິນ	Resin	ersin
ເຣຊົນ	People's Republic	erson
ເຣເຊັບ	Recep	eresb
ເຣບາ	Reba	erbaa
ເຣເບກາ	Rebecca	erebkaa
ເຣຟາ	Rafa	erfaa
ເຣຟາອິມ	Rephaim	erfaa`im
ເຣຟາອີມ	Rephaim	erfaa`iim
ເຣຟາອີຢາ	Rephaiah	erfaa`iiyaa
ເຣຟາເອນ	Raphael	erfaae`n
ເຣຟີດີມ	Rephidim	erfiidiim
ເຣເມັດ	Remet	eremd
ເຣຫຸມ	Rehum	erhum
ເຣໂຫໂບອາມ	Rehoboam	erohob`aam
ເຣອາອີຢາ	Rhea Iya	er`aa`iiyaa
ເຣອີ	Ray	er`ii
ເຣອູ	Reu	er`uu
ເຣອູເອນ	Reuel	er`uue`n
ເຣເອລາອີຢາ	Reeliah	ere`laa`iiyaa
ເຣຮາບີຢາ	Rehabiah	eraabiiyaa
ເຣຮຸມ	Rehum	erum
ເຣຮູມ	Rehum	eruum
ເຣໂຮບ	Rehob	erob
ເຣໂຮໂບດ	Rehoboth	eroobd
ໂຣກ	Disease	ork
ໂຣກ^ຂີ້ທູດ	Leprosy	ork^khiithuud
ໂຣກ^ຂີ້ເຮື້ອນ	Tuberculosis	ork^khiieyy`n
ໂຣກ^ລະບາດ	Epidemic	ork^labaad
ໂຣກ^ອະຫິວາ	Cholera	ork^`ahiwaa
ໂຣກໄພ^ໄຂ້ເຈັບ	Fever	orkaiph^aikhechb
ໂຣກໄພໄຂ້ເຈັບ	Fever	orkaiphaikhechb
ໂຣກລະບາດ	Epidemic disease	orklabaad
ໂຣກາ	Roca	orkaa
ໂຣເກລິມ	Rogelim	oreklim
ໂຣຄາ	Rocha	orkhaa
ໂຣເຊ	Rose	ores
ໂຣດາ	Rhoda	ordaa
ໂຣເດັດ	Rhodes	oredd
ໂຣໂດ	Rhodes	orod
ໂຣມ	Rome	orm
ໂຣມາມຕີ^ເອເຊ	Roman Catholicism	ormaamhii^e`es
ລໍ	Wait	lM
ລໍ້	Wheel	lM
ລໍ^ຄອຍຖ້າ	Wait, wait.	lM^kh`nythaa
ລໍ^ເຖິກ	Male donkey	lM^ethik
ລໍ^ເຝົ້າເບິ່ງ	Wait and watch.	lM^efoaaebing
ລໍ^ຟັງ	Wait, listen.	lM^fng
ລກ	Lock	lk
ລໍຄອຍ	Waiting	lMkh`ny
ລໍຄອຍ^ເບິ່ງ	Wait and see.	lMkh`ny^ebing
ລໍຊ້າ	Wait a minute.	lMsaa
ລໍຖ້າ	Wait	lMthaa
ລໍຖ້າ^ຈົນ	Wait until	lMthaa^chon
ລໍເຖິກ	Male donkey	lMethik
ລໍນ້ອຍ	Little donkey	lMn`ny
ລໍເບິ່ງ	Wait and see.	lMebing
ລໍປ່າ	Wild donkey	lMpaa
ລໍແມ່	Waiting for mom	lMeim
ລລວ	Lol	llw
ລໍ້ລວງ	Tempt	lMlwng
ລໍ້ລົດ	Car wheel	lMlod
ລໍ່ລ້ຽງ	To lure	lMlnyng
ລວງ	Deception	lwng
ລ່ວງ	Premature	lwng
ລ່ວງ^ປະເວນີ	Adultery	lwng^paewnii
ລ່ວງ^ລະເມີດ	Violation	lwng^laemiid
ລວງກວ້າງ	Width	lwngkwaang
ລ່ວງເກີນ	Overstep	lwngekiin
ລ່ວງເກີນ^ຜົວເມຍ	Adultery	lwngekiin^phowemny
ລວງໃຈ	Deception	lwngaych
ລວງຍາວ	Length	lwngnyaaw
ລວງຕາ	Deception	lwnghaa
ລ່ວງໄປ	Pass away	lwngaip
ລ່ວງຜິດ	Wrongdoing	lwngphid
ລ່ວງພົ້ນ	Survive	lwngphon
ລ່ວງລັບ	Before death	lwnglb
ລ່ວງຫາຍ	Pass away	lwnghaany
ລວງອ້ອມ	Deception	lwng``m
ລວດລາຍ	Pattern	lwdlaany
ລ້ວນ	All	lwn
ລ້ວນແຕ່	All of them	lwneih
ລ້ວນແລ້ວ	All done	lwneilw
ລ້ວນແລ້ວແຕ່	All of them	lwneilweih
ລວບລວມ	Collect	lwblwm
ລວມ	Total	lwm
ລວມ^ເຂົ້າກັນ	Combine	lwm^ekhoaakn
ລວມ^ທັງໝົດ	Total^total	lwm^thnghmod
ລວມກັນ	Together	lwmkn
ລວມເຂົ້າ	Include	lwmekhoaa
ລວມຕົວ^ກັນ	Get together	lwmhow^kn
ລວມທັງ	Including	lwmthng
ລວມເປັນ	Including	lwmepn
ລວມເອົາ	Include	lwme`oaa
ລໍຫາ	Waiting for	lMhaa
ລອກ	Copy	l`k
ລອກແບບ	Copy	l`keibb
ລອງ	Try	l`ng
ລ່ອງ	Long	l`ng
ລອງໃຈ	Try your best	l`ngaych
ລອງເບິ່ງ	Try it.	l`ngebing
ລອງເບິ່ງດູ	Take a look.	l`ngebingduu
ລ່ອງລອຍ	Wandering	l`ngl`ny
ລ່ອງໄຫລ	Flowing	l`ngaihl
ລອຍ	Swim	l`ny
ລ່ອຍ	Thin	l`ny
ລອຍນໍ້າ	Swimming	l`nynMaa
ລອດ	Survive	l`d
ລອດ^ປອດໄພ	Stay safe.	l`d^p`daiph
ລອດຊີວິດ	Survive	l`dsiiwid
ລອດຕາຍ	Survived	l`dhaany
ລອດປ່ອງ	Escape from the window	l`dp`ng
ລອດໄປ	Escape	l`daip
ລອດພື້ນ	Survive	l`dphyyn
ລອດພົ້ນ	Survive	l`dphon
ລອດໜີໄປ	Escape	l`dhniiaip
ລອບ	Steal	l`b
ລອບ^ສັງຫານ	Assassinate	l`b^snghaan
ລອບໆ	Sneakily	l`b+
ລອບຂ້າ	Assassinate	l`bkhaa
ລ້ອມ	Surround	l`m
ລ້ອມຮອບ	Surround	l`m`b
ລະ	Level	la
ລະຄອນ	Drama	lakh`n
ລະງັບ	Stop	langb
ລະຈາກ	Leave	lachaak
ລະດັບ	Level	ladb
ລະດູ	Season	laduu
ລະດູ^ຮ້ອນ	Summer	laduu^`n
ລະດູການ	Season	laduukaan
ລະດູແລ້ງ	Dry season	laduueilng
ລະດູໜາວ	Winter	laduuhnaaw
ລະດູຮ້ອນ	Summer	laduu`n
ລະດົມ	Mobilize	ladom
ລະດົມພົນ	Mobilize troops	ladomphon
ລະຖິ້ມ	Throw away	lathim
ລະທົມ	Ratham	lathom
ລະທົມ^ໃຈ	Heartbroken	lathom^aych
ລະທົມ^ທຸກ	All the people	lathom^thuk
ລະນ້ອຍ	Small	lan`ny
ລະນຶກ	Remember	lanyk
ລະນຶກ^ເຖິງ	Remember	lanyk^ething
ລະນຶກ^ວ່າ	Remember that	lanyk^waa
ລະນຶກເຖິງ	Remember	lanykething
ລະແນວ	Different	laeinw
ລະບາຍ	Drain	labaany
ລະບາດ	Epidemic	labaad
ລະບົບ	System	labob
ລະບົບ^ລະບຽບ	System^rules	labob^labnyb
ລະບຽງ	Balcony	labnyng
ລະບຽບ	Rules	labnyb
ລະບຽບການ	Regulations	labnybkaan
ລະເບີດ	Explosion	laebiid
ລະມັດ	Bundle	lamd
ລະມັດ^ລະວັງ	Be careful.	lamd^lawng
ລະມັດ^ລະວັງ^ຕົວ	Be careful.	lamd^lawng^how
ລະມັດ^ລະວັງຕົວ	Be careful.	lamd^lawnghow
ລະເມີ	How much	laemii
ລະເມີດ	Violation	laemiid
ລະຢ່າງ	Example	layaang
ລະລາຍ	Dissolve	lalaany
ລະລາຍ^ໄປ	Dissolve^go	lalaany^aip
ລະລຶກ	Memorial	lalyk
ລະເລັກ	A little bit	laelk
ລະເລີຍ	Neglect	laeliiny
ລະວັງ	Be careful.	lawng
ລະວັງ^ເອົາ	Be careful.	lawng^e`oaa
ລະວັງ||ຄົນ^ໜ້າຊື່^ໃຈຄົດ	Beware || People who are honest and hypocritical	lawng||khon^hnaasyy^aychkhod
ລະວັງຕົນ	Be careful.	lawnghon
ລະວັງຕົວ	Be careful.	lawnghow
ລະເວັ້ນ	Abstain	laewn
ລະໜ້ອຍ	Little by little	lahn`ny
ລະຫວ່າງ	Between	lahwaang
ລະອາຍ	Shame	la`aany
ລະອາຍ^ໃຈ	Shame	la`aany^aych
ລະອຽດ	Detail	la`nyd
ລະອຽດ^ດີ	Detailed ^ good	la`nyd^dii
ລັກ	Steal	lk
ລັກ^ຄົນ	Kidnap	lk^khon
ລັກ^ຊັບ	Steal property	lk^sb
ລັກ^ຟັງ	Listen	lk^fng
ລັກ^ໜີໄປ	Steal away	lk^hniiaip
ລັກກູມ	Robbery	lkkuum
ລັກສະນະ	Character	lksana
ລັກສະນະ^ດຽວກັນ	Same character	lksana^dnywkn
ລັກຊັບ	Steal property	lksb
ລັກລອບ	Steal	lkl`b
ລັງກຽດ	Disgusting	lngknyd
ລັງເລ	Hesitation	lngel
ລັ່ງເລ	Hesitate	lngel
ລັ່ງເລ^ໃຈ	Hesitate.	lngel^aych
ລັ່ງເລໃຈ	Hesitate	lngelaych
ລັດ	State	ld
ລັດຖະບານ	Government	ldthabaan
ລັດທິ	Statehood	ldthi
ລັ່ນ	Jump	ln
ລັ່ນ^ແຕ່	But	ln^eih
ລັ່ນປາກ	Mouth opener	lnpaak
ລັບ	Secret	lb
ລັບ^ຂອບຟ້າ	Secret of the horizon	lb^kh`bfaa
ລັບໆ	Secretly	lb+
ລັບບັງ	Secret	lbbng
ລັບລີ້	Secret	lblii
ລັບເລິກ	Deep secret	lbelik
ລັບຫລັງ	Secret behind	lbhlng
ລັບຫາຍ	Secretly lost	lbhaany
ລາ	donkey	laa
ລ້າ	Fish	laa
ລ້າໆ	Slowly	laa+
ລ້າໆ^ເລີຍ	Very slowly.	laa+^eliiny
ລາກ	Drag	laak
ລາກິດ	Lakshmi	laakid
ລາຄາ	Price	laakhaa
ລໍ້າຄ່າ	Overpriced	lMaakhaa
ລາງ	Table	laang
ລ້າງ	Wash	laang
ລ້າງ^ຕົນເອງ	Wash yourself.	laang^hone`ng
ລ້າງ^ໜ້າ	Wash your face.	laang^hnaa
ລ້າງແຄ້ນ	Take revenge	laangeikhn
ລ້າງສ່ວຍ	Wash your hands.	laangswny
ລ້າງຜານ	Wash away	laangphaan
ລາງວັນ	Award	laangwn
ລ້າງໜ້າ	Wash your face	laanghnaa
ລ່າສັດ	Hunting	laasd
ລາຊະໂຣ	Lazarus	laasaor
ລາຊະໂຣ^ເອີຍ	Lazarus,	laasaor^e`iiny
ລາຊາ	Raja	laasaa
ລາຊາໂຣ	Lazarus	laasaaor
ລາເຊ	Lace	laaes
ລາຍ	List	laany
ລາຍການ	List	laanykaan
ລາຍງານ	Report	laanyngaan
ລາຍຈ່າຍ	Expenses	laanychaany
ລາຍຊື່	List	laanysyy
ລາຍເຊັນ	Signature	laanyesn
ລາຍໄດ້	Income	laanyaid
ລາຍມື	Handwriting	laanymyy
ລາຍລະອຽດ	Details	laanyla`nyd
ລາຍລັກ	List of stolen goods	laanylk
ລາຍລັກອັກສອນ	Written	laanylk`ks`n
ລາດານ	Ladan	laadaan
ລາຕິນ	Latin	laahin
ລ່າຖອຍ	Retreat	laath`ny
ລານ	Palm	laan
ລ້ານ	Million	laan
ລານ^ຟາດເຂົ້າ	Rice threshing floor	laan^faadekhoaa
ລານເຂົ້າ	Rice field	laanekhoaa
ລານຫີນ	Stone floor	laanhiin
ລ່າເນື້ອ	Hunting	laaenyy`
ລາບ	Lap	laab
ລາບຄາບ	Lap Kaap	laabkhaab
ລາບານ	Laban	laabaan
ລາມ	Spread	laam
ລ່າມ	Lam	laam
ລ່າມໂສ້	Chainsaw	laamos
ລາມາມ	Lama	laamaam
ລາມົກ	Obscene	laamok
ລາເມັກ	Lamech	laaemk
ລໍ້າລວຍ	Very rich	lMaalwny
ລ່າເລີງ	Hunting	laaeliing
ລໍ້າເລີດ	Excellent	lMaaeliid
ລາວ	Lao	laaw
ລາວດີເກອາ	Laodicea	laawdiiek`aa
ລາວເອງ	He himself	laawe`ng
ລ້າຫລັງ	Behind	laahlng
ລ່າເຫລືອງ	Yellow hunter	laaehlyy`ng
ລາອາດາ	Laada	laa`aadaa
ລາອິດ	First	laa`id
ລາຮະມີ	Lahami	laaamii
ລາຮາດ	Lahad	laaaad
ລຳ	Trunk	lam
ລຳ^ຕະກຽງ	Lamp	lam^haknyng
ລຳ^ຕົ້ນ^ຕານ	Palm tree trunk	lam^hon^haan
ລຳຄໍ	Throat	lamkhM
ລຳຄອງ	Canal	lamkh`ng
ລຳຄານ	Annoyed	lamkhaan
ລຳງາມ	Beautiful song	lamngaam
ລຳໄສ້	Intestine	lamais
ລຳດັບ	Sequence	lamdb
ລຳຕົ້ນ	Trunk	lamhon
ລຳຕົ້ນ^ປ່ານ	Trunk^palm	lamhon^paan
ລຳຕົວ	Body	lamhow
ລຳທານ	Give alms	lamthaan
ລຳນໍ້າ	River	lamnMaa
ລຳບາກ	Difficult	lambaak
ລຳບາກ^ຂັດສົນ	Difficult, needy	lambaak^khdson
ລຳພັງ	Alone	lamphng
ລຳພັງ^ໃຈ	Lonely	lamphng^aych
ລຳພັງໃຈ	Lonely	lamphngaych
ລຳພັນ	Breed	lamphn
ລຳລຶກ^ເຖິງ	Remembering ^to	lamlyk^ething
ລຳລຽງ	Transport	lamlnyng
ລຳອຽງ	Prejudice	lam`nyng
ລິ	Li	li
ລິດ	Liter	lid
ລິດເຄິ່ງ	Half a liter	lidekhing
ລິດດາ	Lida	liddaa
ລິນ	Lin	lin
ລິ້ນ	Tongue	lin
ລິບນາ	Libnah	libnaa
ລິບນາດ	Libanad	libnaad
ລິບນີ	Lipny	libnii
ລິເລືອ	Lilua	lielyy`
ລິເລືອໄປ	Creeping away	lielyy`aip
ລີ້	Hide	lii
ລີເກຍ	Lycia	liiekny
ລີຄີ	Leaky	liikhii
ລີງນ້ອຍ	Little monkey	liingn`ny
ລີງໃຫຍ່	Big monkey	liingayhny
ລີສະຕຣາ	Lystra	liisahraa
ລີ້ຊ່ອນ	Hide	liis`n
ລີ້ຊ່ອນຕົວ	Hide	liis`nhow
ລີຊາເນຍ	Lysania	liisaaenny
ລີເຊຍ	Lisia	liiesny
ລີເດຍ	Lydia	liiedny
ລີ້ຕົວ	Hide	liihow
ລີ້ນ	Tongue	liin
ລີ້ນ^ງູ	Tongue^snake	liin^nguu
ລີໂນ	Lino	liion
ລີບ	Lip	liib
ລີບລົງ	Shrink down	liiblong
ລີເບຍ	Libya	liiebny
ລີ້ໄພ	Refuge	liiaiph
ລີ້ແມ	Hide	liieim
ລີ້ລັບ	Secret	liilb
ລີ້ໜ້າ	Hide your face	liihnaa
ລຶກລັບ	Mysterious	lyklb
ລຶ້ງເຄີຍ	Familiar	lyngekhiiny
ລຶບກຽດ	To remove honor	lybknyd
ລຶບລ້າງ	Delete	lyblaang
ລຶບລ້າງ^ບາບ	Wash away sins	lyblaang^baab
ລຶບລ້າງ^ບາບ||ໂດຍ	Wash away sins||by	lyblaang^baab||odny
ລຶບລ້າງ^ບາບກຳ	To erase sins	lyblaang^baabkam
ລຶບອອກ	Delete	lyb``k
ລືຊາ	Lusha	lyysaa
ລື່ນ	Slip	lyyn
ລື່ນກວ່າ	Better than	lyynkwaa
ລື້ນເລີງ	Long live	lyyneliing
ລືນາມ	Famous	lyynaam
ລືບ	Forget	lyyb
ລືບລ້າງ	Forget	lyyblaang
ລືມ	Forgot	lyym
ລືມຄີງ	Forget about it.	lyymkhiing
ລືມໄລ	Forget about it.	lyymail
ລຸກ	Get up	luk
ລຸກ^ແລ້ວ	Get up.	luk^eilw
ລຸກ^ໃຫຍ່	Big	luk^ayhny
ລຸກຂຶ້ນ	Get up	lukkhyn
ລຸກຂື້ນ	Get up	lukkhyyn
ລຸກຂື້ນ^ເຖີດ	Get up.	lukkhyyn^ethiid
ລຸກເຊົ້າ	Get up early	lukesoaa
ລຸກມາ	Get up	lukmaa
ລຸກຢືນ	Stand up	lukyyyn
ລຸກຢືນຂຶ້ນ	Stand up.	lukyyynkhyn
ລຸກລາມ	Encroach	luklaam
ລຸກວາບ	Rush	lukwaab
ລຸກໄໝ້	Burn	lukaihm
ລຸກອີກ	Get up again	luk`iik
ລຸກຮື້ຂຶ້ນ	Rise up	lukyykhyn
ລຸງ	Uncle	lung
ລຸຍ	Go through	luny
ລຸດ	Lose	lud
ລຸ້ນ	Generation	lun
ລຸ້ນນີ້	This generation	lunnii
ລຸ້ນລາວ	Lao version	lunlaaw
ລຸ້ນຫລັງ	Later generation	lunhlng
ລຸ່ມ	Bottom	lum
ລຸ່ມ^ງ່າ	Bottom^branch	lum^ngaa
ລຸລັ່ງ	Go to the river	lulng
ລູ່	Uncle	luu
ລູກ	Child	luuk
ລູກ^ກຳພ້າ	Orphan	luuk^kamphaa
ລູກ^ກົກ	The eldest child	luuk^kok
ລູກ^ແກະເຖິກ	Lamb	luuk^eikaethik
ລູກ^ແກະແມ່	Lamb	luuk^eikaeim
ລູກ^ງົວ	Baby cow	luuk^ngow
ລູກ^ສັດ	Baby animal	luuk^sd
ລູກ^ຊາຍ	Son	luuk^saany
ລູກ^ຊາຍ^ຍິງ	Son/daughter	luuk^saany^nying
ລູກ^ຍິງ^ເອີຍ	My daughter.	luuk^nying^e`iiny
ລູກ^ໂຕສິງ	Lion cub	luuk^ohsing
ລູກ^ແບ້	Baby goat	luuk^eib
ລູກ^ແບ້^ໜຸ່ມ	Young goat	luuk^eib^hnum
ລູກ^ແບ້ເຖິກ	Male goat	luuk^eibethik
ລູກ^ຜູ້ຊາຍ	Male child	luuk^phuusaany
ລູກ^ມ້າ	Horse	luuk^maa
ລູກ^ເມຍ	Children, wives	luuk^emny
ລູກ^ໜ້າຊົ່ວ	Evil-faced child	luuk^hnaasow
ລູກ^ຫຼານ	Grandchildren	luuk^hlaan
ລູກ^ເອີຍ	My child.	luuk^e`iiny
ລູກໆ	Children	luuk+
ລູກໆ^ທັງຫລາຍ	All children	luuk+^thnghlaany
ລູກໆ^ເອີຍ	Children, please.	luuk+^e`iiny
ລູກກວາງ	Baby deer	luukkwaang
ລູກກາ	Crow	luukkaa
ລູກກຳພ້າ	Orphan	luukkamphaa
ລູກກົກ	Firstborn	luukkok
ລູກແກະ	Lamb	luukeika
ລູກແກະ^ເຖິກ	Male lamb	luukeika^ethik
ລູກແກະເຖິກ	Male lamb	luukeikaethik
ລູກເຂີຍ	Son-in-law	luukekhiiny
ລູກຄ້າ	Customer	luukkhaa
ລູກຈ້າງ	Employee	luukchaang
ລູກສອນ	Arrow	luuks`n
ລູກສອນ^ໄຟ	Arrow^fire	luuks`n^aif
ລູກສາວ	Daughter	luuksaaw
ລູກສາວ^ກົກ	Eldest daughter	luuksaaw^kok
ລູກສາວ^ຫລ້າ	Youngest daughter	luuksaaw^hlaa
ລູກສິດ	Disciple	luuksid
ລູກໂສ້	Chain	luukos
ລູກຊາຍ	Son	luuksaany
ລູກຊາຍ^ກົກ	Eldest son	luuksaany^kok
ລູກຊາຍ^ຂອງ	Son of	luuksaany^kh`ng
ລູກຊາຍ||ຂອງ	Son || of	luuksaany||kh`ng
ລູກຊາຍກົກ	Eldest son	luuksaanykok
ລູກຊາຍຫລ້າ	Youngest son	luuksaanyhlaa
ລູກຍິງ	Daughter	luuknying
ລູກຍິງ^ເອີຍ	My daughter.	luuknying^e`iiny
ລູກດິ່ງ	Baby	luukding
ລູກທະນູ	Arrow	luukthanuu
ລູກນ້ອຍ	Little child	luukn`ny
ລູກໃພ້	Daughter-in-law	luukayph
ລູກລໍ	Donkey	luuklM
ລູກໜ້າ	Next child	luukhnaa
ລູກໜ້າ^ທະນູ	Arrow	luukhnaa^thanuu
ລູກໜ້າ^ໜ້ອງ	The front page	luukhnaa^hn`ng
ລູກໜີ້	Debtor	luukhnii
ລູກຫລ້າ	Youngest child	luukhlaa
ລູກຫລານ	Children	luukhlaan
ລູກຫົວປີ	Firstborn	luukhowpii
ລູກຫຼານ	Children	luukhlaan
ລູກເອີຍ	My child	luuke`iiny
ລູກເຮືອ	Crew	luukeyy`
ລູກາ	Luke	luukaa
ລູກີໂອ	Lucio	luukiio`
ລູກີໂອຢາໂຊນ	Lucius Jason	luukiio`yaaosn
ລູງ	Uncle	luung
ລູຊີເຟີ	Lucifer	luusiiefii
ລູເຊ	Luce	luues
ລູຍ	Lui	luuny
ລູດ	Ludus	luud
ລູດີອາ	Lydia	luudii`aa
ລູບ	Caress	luub
ລູບຄຳ	Touch the gold	luubkham
ລົງ	Down	long
ລົງ^ທະບຽນ	Register	long^thabnyn
ລົງ^ໄປ	Go down.	long^aip
ລົງ^ມາ	Come down.	long^maa
ລົງ^ເລີຍ	Go down.	long^eliiny
ລົງໆ	Down	long+
ລົງກ້ຽງ	Smoothly descend	longknyng
ລົງຈາກ	Get off	longchaak
ລົງຊໍ້າ	Repeat	longsMaa
ລົງທັນ	Get down right away	longthn
ລົງທຶນ	Invest	longthyn
ລົງໂທດ	Punish	longothd
ລົງໂທດ^ທັນ	Punishment	longothd^thn
ລົງໂທດ||ຍິງໂສເພນີ	Punishment || Prostitute	longothd||nyingosephnii
ລົງນອນ	Go to bed	longn`n
ລົງບັນຊີ	Register	longbnsii
ລົງໄປ	Go down.	longaip
ລົງມະຕິ	Pass a resolution	longmahi
ລົງມາ	Come down	longmaa
ລົງມື	Take action	longmyy
ລົງລອຍ	Swim	longl`ny
ລົງເລີຍ	Get down.	longeliiny
ລົງໄລ	Profit	longail
ລົດ	Car	lod
ລົດກຽດ	Car	lodknyd
ລົດນ້ອຍ	Small car	lodn`ny
ລົດນ້ອຍ^ຖອຍລົງ	The car is backing up.	lodn`ny^th`nylong
ລົດມ້າ	Horse-drawn carriage	lodmaa
ລົດມ້າ^ໄຟ	Horse-drawn carriage	lodmaa^aif
ລົດລໍ້	Wheelbarrow	lodlM
ລົດລະ	Car	lodla
ລົດໜ້ອຍ	Few cars	lodhn`ny
ລົດໜ້ອຍ^ຖອຍລົງ	The car is slow and slow.	lodhn`ny^th`nylong
ລົດຮົບ	Chariot	lodob
ລົດຮົບ^ເຫຼັກ	Iron chariot	lodob^ehlk
ລົ່ນ	Fall	lon
ລົ້ນ	Overflow	lon
ລົ້ນລັ່ງ	Rushing	lonlng
ລົ້ນເຫລືອ	Overflowing	lonehlyy`
ລົ້ນໄຫລ	Overflowing	lonaihl
ລົບກວນ	Disturb	lobkwn
ລົບລາ^ຂ້າຟັນ	Kill the donkey, kill the donkey.	loblaa^khaafn
ລົບລ້າງ	Eliminate	loblaang
ລົບຫລູ່	Delete the text.	lobhluu
ລົມ	Wind	lom
ລົ້ມ	Fall	lom
ລົມ^ໃຕ້	South wind	lom^ayh
ລົ້ມ^ທະລາຍ	Collapse	lom^thalaany
ລົ້ມ^ທະລາຍ^ລົງ	Fall down	lom^thalaany^long
ລົ້ມ^ທັບ	Fallen	lom^thb
ລົມ^ບ້າ	Crazy wind	lom^baa
ລົມ^ບ້າໝູ	Wind^Epilepsy	lom^baahmuu
ລົມ^ພະຍຸ^ຮ້າຍ	Wind, storm, bad weather	lom^phanyu^aany
ລົມ^ພັດ	Wind blows	lom^phd
ລົ້ມ^ລະລາຍ	Collapse	lom^lalaany
ລົມ^ຫົວກຸດ	Wind, head, and neck	lom^howkud
ລົມ^ແຮງ	Strong wind	lom^eing
ລົມໆແລ້ງໆ	A gentle breeze	lom+eilng+
ລົມກັນ	Talk to each other	lomkn
ລົ້ມຕາຍ	Fall to death	lomhaany
