the	ðiː	t-h-ē	ㄘㄧ	該
a-as	ə-æz	ə-a-z	ㄦ-ㄚㄗ	一，作為
forgive	fəˈgɪv	f-ə-g-i-v	ㄈㄦㄍㄧㄈ	原諒
madam	ˈmædəm	m-a-d-ə-m	ㄇㄚㄉㄦㄇ	夫人
wizard	ˈwɪzəd	w-i-z-ə-d	ㄨㄧㄗㄦㄉ	巫師
co	kəʊ	k-ə-oo	ㄍㄦㄡ	合作
charlie	ˈʧɑːli	ch-ä-l-ē	ㄓㄚㄌㄧ	查理
tail-end	ˈteɪlˈɛnd	t-ā-l-é-n-d	ㄉㄝㄧㄌㄜㄋㄉ	尾端
whizzbang	ˈwɪzbæŋ	w-i-z-b-a-ng	ㄨㄧㄗㄅㄚㄥ	whizzbang
map	mæp	m-a-p	ㄇㄚㄅ	地圖
flappy	flappy	f-l-a-p-p-y	ㄈㄌㄚㄅㄅㄩ	飛揚
stick	stɪk	-s-t-i-k	ㄙㄉㄧㄍ	棒
jocko	ˈʤɒkəʊ	y-o-k-ə-oo	ㄓㄛㄍㄦㄡ	黑猩猩
proper	ˈprɒpə	p-r-o-p-ə	ㄅㄖㄛㄅㄦ	正確
conquer	ˈkɒŋkə	k-o-ng-k-ə	ㄍㄛㄥㄍㄦ	征服
divide	dɪˈvaɪd	d-i-v-ī-d	ㄉㄧㄈㄚㄧㄉ	劃分
precisely	prɪˈsaɪsli	p-r-i-s-ī-s-l-ē	ㄅㄖㄧㄙㄚㄧㄙㄌㄧ	恰恰
dissension	dɪˈsɛnʃən	d-i-s-é-n-sh-ə-n	ㄉㄧㄙㄜㄋㄕㄣ	糾紛
four-eyes	fɔːr-aɪz	f-ô-r-ī-z	ㄈㄛㄖ-ㄚㄧㄗ	四眼
push	pʊʃ	p-oo-sh	ㄅㄡㄕ	推
hitting	ˈhɪtɪŋ	h-i-t-i-ng	ㄏㄧㄉㄧㄥ	打
knitting	ˈnɪtɪŋ	n-i-t-i-ng	ㄋㄧㄉㄧㄥ	針織
infernal	ɪnˈfɜːnl	i-n-f-û-n-l	ㄧㄋㄈㄦㄋㄌ	地獄
pastry	ˈpeɪstri	p-ā-s-t-r-ē	ㄅㄝㄧㄙㄉㄖㄧ	糕點
next	nɛkst	n-é-k-s-t	ㄋㄜㄍㄙㄉ	下一個
american	əˈmɛrɪkən	ə-m-é-r-i-k-ə-n	ㄦㄇㄜㄖㄧㄍㄣ	美國
fake	feɪk	f-ā-k	ㄈㄝㄧㄍ	假
cannon	ˈkænən	k-a-n-ə-n	ㄍㄚㄋㄣ	大砲
r-rocky	ɑː-ˈrɒki	ä-r-o-k-ē	ㄚ-ㄖㄛㄍㄧ	R-岩石
everyone's	ˈɛvrɪwʌnz	é-v-r-i-w-u-n-z	ㄜㄈㄖㄧㄨㄨㄋㄗ	大家的
knock-knock	nɒk-nɒk	n-o-k-n-o-k	ㄋㄛㄍ-ㄋㄛㄍ	敲敲敲
warming	ˈwɔːmɪŋ	w-ô-m-i-ng	ㄨㄛㄇㄧㄥ	變暖
girls	gɜːlz	g-û-l-z	ㄍㄦㄌㄗ	女孩
today's	təˈdeɪz	t-ə-d-ā-z	ㄉㄦㄉㄝㄧㄗ	今天的
company	ˈkʌmpəni	k-u-m-p-ə-n-ē	ㄍㄨㄇㄅㄣㄧ	公司
closer	ˈkləʊsə	k-l-ə-oo-s-ə	ㄍㄌㄦㄡㄙㄦ	接近
looking	ˈlʊkɪŋ	l-oo-k-i-ng	ㄌㄡㄍㄧㄥ	看著
prickly	ˈprɪkli	p-r-i-k-l-ē	ㄅㄖㄧㄍㄌㄧ	刺
brown	braʊn	b-r-o-w-n	ㄅㄖㄚㄡㄋ	棕色
greener	ˈgriːnə	g-r-ē-n-ə	ㄍㄖㄧㄋㄦ	更環保
cracked	krækt	k-r-a-k-t	ㄍㄖㄚㄍㄉ	破解
disappointments	ˌdɪsəˈpɔɪntmənts	d-i-s-ə-p-o-ē-n-t-m-ə-n-t-s	ㄉㄧㄙㄦㄅㄛㄧㄋㄉㄇㄣㄗ	失望
stuff	stʌf	s-t-u-f	ㄙㄉㄨㄈ	東東
ranging	ˈreɪnʤɪŋ	r-ā-n-y-i-ng	ㄖㄝㄧㄋㄓㄧㄥ	不等
experienced	ɪksˈpɪərɪənst	i-k-s-p-ē-ə-r-ē-ə-n-s-t	ㄧㄍㄙㄅㄧㄦㄖㄧㄣㄙㄉ	有經驗的
y-you	waɪ-juː	w-ī-yü	ㄨㄚㄧ-ㄡㄨ	你 - 你
hills	hɪlz	h-i-l-z	ㄏㄧㄌㄗ	丘陵
rambling	ˈræmblɪŋ	r-a-m-b-l-i-ng	ㄖㄚㄇㄅㄌㄧㄥ	漫步的
beneath	bɪˈniːθ	b-i-n-ē-th	ㄅㄧㄋㄧㄊ	下面
felt	fɛlt	f-é-l-t	ㄈㄜㄌㄉ	氈
lives	lɪvz	l-i-v-z	ㄌㄧㄈㄗ	生活
harsh	hɑːʃ	h-ä-sh	ㄏㄚㄕ	苛刻
ahead	əˈhɛd	ə-h-é-d	ㄦㄏㄜㄉ	先
since	sɪns	s-i-n-s	ㄙㄧㄋㄙ	以來
both	bəʊθ	b-ə-oo-th	ㄅㄦㄡㄊ	都
anticipation	ænˌtɪsɪˈpeɪʃ(ə)n	a-n-t-i-s-i-p-ā-sh-ə-n	ㄚㄋㄉㄧㄙㄧㄅㄝㄧㄕㄦㄋ	預期
demonstration	ˌdɛmənsˈtreɪʃən	d-é-m-ə-n-s-t-r-ā-sh-ə-n	ㄉㄜㄇㄣㄙㄉㄖㄝㄧㄕㄣ	示範
tomorrow's	təˈmɒrəʊz	t-ə-m-o-r-ə-oo-z	ㄉㄦㄇㄛㄖㄦㄡㄗ	明天的
await	əˈweɪt	ə-w-ā-t	ㄦㄨㄝㄧㄉ	等待
entirely	ɪnˈtaɪəli	i-n-t-ī-ə-l-ē	ㄧㄋㄉㄚㄧㄦㄌㄧ	完全
surrender	səˈrɛndə	s-ə-r-é-n-d-ə	ㄙㄦㄖㄜㄋㄉㄦ	投降
occasion	əˈkeɪʒən	ə-k-ā-zh-ə-n	ㄦㄍㄝㄧㄓㄣ	場合
honor	ˈɒnə	o-n-ə	ㄛㄋㄦ	榮譽
salute	səˈluːt	s-ə-l-ū-t	ㄙㄦㄌㄨㄉ	禮炮
bravery	ˈbreɪvəri	b-r-ā-v-ə-r-ē	ㄅㄖㄝㄧㄈㄦㄖㄧ	膽
present	ˈprɛznt	p-r-é-z-n-t	ㄅㄖㄜㄗㄋㄉ	當下
character	ˈkærɪktə	k-a-r-i-k-t-ə	ㄍㄚㄖㄧㄍㄉㄦ	字符
misjudged	ˌmɪsˈʤʌʤd	m-i-s-y-u-y-d	ㄇㄧㄙㄓㄨㄓㄉ	誤判
admit	ədˈmɪt	ə-d-m-i-t	ㄦㄉㄇㄧㄉ	承認
dutifully	ˈdjuːtɪfʊli	d-yü-t-i-f-oo-l-ē	ㄉㄡㄨㄉㄧㄈㄡㄌㄧ	忠實地
evening	ˈiːvnɪŋ	ē-v-n-i-ng	ㄧㄈㄋㄧㄥ	晚間
light	laɪt	l-ī-t	ㄌㄚㄧㄉ	光
deed	diːd	d-ē-d	ㄉㄧㄉ	契據
honorable	ˈɒnərəbl	o-n-ə-r-ə-b-l	ㄛㄋㄦㄖㄦㄅㄌ	光彩
smoother	ˈsmuːðə	s-m-ū-t-h-ə	ㄙㄇㄨㄘㄦ	平滑
everything's	ˈɛvrɪθɪŋz	é-v-r-i-th-i-ng-z	ㄜㄈㄖㄧㄊㄧㄥㄗ	一切的
once	wʌns	w-u-n-s	ㄨㄨㄋㄙ	一旦
sabotaged	ˈsæbətɑːʒd	s-a-b-ə-t-ä-zh-d	ㄙㄚㄅㄦㄉㄚㄓㄉ	破壞
meant	mɛnt	m-é-n-t	ㄇㄜㄋㄉ	意味著
gravy	ˈgreɪvi	g-r-ā-v-ē-	ㄍㄖㄝㄧㄈㄧ	鹵
owt	owt	o-w-t	ㄛㄨㄉ	OWT
pudding	ˈpʊdɪŋ	p-oo-d-i-ng	ㄅㄡㄉㄧㄥ	布丁
blow	bləʊ	b-l-ə-oo	ㄅㄌㄦㄡ	打擊
door	dɔː	d-ô	ㄉㄛ	門
com	kɒm	k-o-m	ㄍㄛㄇ	COM
oven	ˈʌvn	u-v-n	ㄨㄈㄋ	烤箱
oops	uːps	ū-p-s	ㄨㄅㄙ	哎呀
dough	dəʊ	d-ə-oo	ㄉㄦㄡ	麵團
vegetables	ˈvɛʤɪtəblz	v-é-y-i-t-ə-b-l-z	ㄈㄜㄓㄧㄉㄦㄅㄌㄗ	蔬菜
mixed	mɪkst	m-i-k-s-t	ㄇㄧㄍㄙㄉ	雜
shoot	ʃuːt	sh-ū-t	ㄕㄨㄉ	射擊
yo	jəʊ	y-ə-oo	ㄡㄦㄡ	喲
brilliant	ˈbrɪljənt	b-r-i-l-y-ə-n-t	ㄅㄖㄧㄌㄡㄣㄉ	輝煌
size	saɪz	s-ī-z	ㄙㄚㄧㄗ	尺寸
boost	buːst	b-ū-s-t	ㄅㄨㄙㄉ	促進
trousers	ˈtraʊzəz	t-r-o-w-z-ə-z	ㄉㄖㄚㄡㄗㄦㄗ	長褲
catch	kæʧ	k-a-ch	ㄍㄚㄓ	抓住
surprise	səˈpraɪz	s-ə-p-r-ī-z	ㄙㄦㄅㄖㄚㄧㄗ	驚
they'd	ðeɪd	t-h-ā-d	ㄘㄝㄧㄉ	他們會
laddie	ˈlædi	l-a-d-ē	ㄌㄚㄉㄧ	後生
chops	ʧɒps	ch-o-p-s	ㄓㄛㄅㄙ	印章
taking	ˈteɪkɪŋ	t-ā-k-i-ng	ㄉㄝㄧㄍㄧㄥ	服用
calls	kɔːlz	k-ô-l-z	ㄍㄛㄌㄗ	電話
prisoner	ˈprɪznə	p-r-i-z-n-ə	ㄅㄖㄧㄗㄋㄦ	囚犯
enemy	ˈɛnɪmi	é-n-i-m-ē	ㄜㄋㄧㄇㄧ	敵人
they've	ðeɪv	t-h-ā-v	ㄘㄝㄧㄈ	他們已經
heck	hɛk	h-é-k	ㄏㄜㄍ	赫克
score	skɔː	s-k-ô	ㄙㄍㄛ	得分了
public	ˈpʌblɪk	p-u-b-l-i-k	ㄅㄨㄅㄌㄧㄍ	上市
touch	tʌʧ	t-u-ch	ㄉㄨㄓ	觸摸
woman's	ˈwʊmənz	w-oo-m-ə-n-z	ㄨㄡㄇㄣㄗ	女人的
missus	ˈmɪsɪz	m-i-s-i-z	ㄇㄧㄙㄧㄗ	太太
homemade	ˈhəʊmˈmeɪd	h-ə-oo-m-m-ā-d	ㄏㄦㄡㄇㄇㄝㄧㄉ	自製
upon	əˈpɒn	ə-p-o-n	ㄦㄅㄛㄋ	上
stocked	stɒkt	s-t-o-k-t	ㄙㄉㄛㄍㄉ	庫存
county	ˈkaʊnti	k-o-w-n-t-ē	ㄍㄚㄡㄋㄉㄧ	縣
grocers'	ˈgrəʊsəz	g-r-ə-oo-s-ə-z	ㄍㄖㄦㄡㄙㄦㄗ	雜貨店“
fortnight	ˈfɔːtnaɪt	f-ô-t-n-ī-t	ㄈㄛㄉㄋㄚㄧㄉ	兩星期
lummox	ˈlʌməks	l-u-m-ə-k-s	ㄌㄨㄇㄦㄍㄙ	lummox
champion	ˈʧæmpjən	ch-a-m-p-y-ə-n	ㄓㄚㄇㄅㄡㄣ	冠軍
soft	sɒft	s-o-f-t	ㄙㄛㄈㄉ	柔軟的
turning	ˈtɜːnɪŋ	t-û-n-i-ng	ㄉㄦㄋㄧㄥ	車削
cared	keəd	k-ã-d	ㄍㄝㄦㄉ	照顧
apology	əˈpɒləʤi	ə-p-o-l-ə-y-ē	ㄦㄅㄛㄌㄦㄓㄧ	歉意
owe	əʊ	ə-oo	ㄦㄡ	欠
looks	lʊks	l-oo-k-s	ㄌㄡㄍㄙ	容貌
babsy	babsy	b-a-b-s-y	ㄅㄚㄅㄙㄩ	babsy
worthwhile	ˈwɜːθˈwaɪl	-w-û-th-w-ī-l	ㄨㄦㄊㄨㄚㄧㄌ	合算
moments	ˈməʊmənts	m-ə-oo-m-ə-n-t-s	ㄇㄦㄡㄇㄣㄗ	瞬間
nancy	ˈnænsi	n-a-n-s-ē	ㄋㄚㄋㄙㄧ	南希
sobbing	ˈsɒbɪŋ	s-o-b-i-ng	ㄙㄛㄅㄧㄥ	抽泣
authorizing	ˈɔːθəraɪzɪŋ	ô-th-ə-r-ī-z-i-ng	ㄛㄊㄦㄖㄚㄧㄗㄧㄥ	授權
recall	rɪˈkɔːl	r-i-k-ô-l	ㄖㄧㄍㄛㄌ	召回
gal	gæl	g-a-l	ㄍㄚㄌ	加侖
flow	fləʊ	f-l-ə-oo	ㄈㄌㄦㄡ	流
body	ˈbɒdi	b-o-d-ē	ㄅㄛㄉㄧ	身體
through	θruː	th-r-ū	ㄊㄖㄨ	通過
beat	biːt	b-ē-t	ㄅㄧㄉ	擊敗
nellypodging	nellypodging	n-e-l-l-y-p-o-d-g-ē-n-g	ㄋㄝㄌㄌㄩㄅㄛㄉㄍㄧㄋㄍ	nellypodging
feathers	ˈfɛðəz	f-é-t-h-ə-z	ㄈㄜㄘㄦㄗ	羽毛
tail	teɪl	t-ā-l	ㄉㄝㄧㄌ	尾巴
shake	ʃeɪk	sh-ā-k	ㄕㄝㄧㄍ	搖
kick	kɪk	k-i-k	ㄍㄧㄍ	踢
yolker	ˈjəʊkə	y-ə-oo-k-ə	ㄡㄦㄡㄍㄦ	yolker
solid	ˈsɒlɪd	s-o-l-i-d	ㄙㄛㄌㄧㄉ	固體
craftsmanship	ˈkrɑːftsmənʃɪp	k-r-ä-f-t-s-m-ə-n-sh-i-p	ㄍㄖㄚㄈㄗㄇㄣㄕㄧㄅ	手藝
biblical	ˈbɪblɪkəl	b-i-b-l-i-k-ə-l	ㄅㄧㄅㄌㄧㄍㄦㄌ	聖經
receive	rɪˈsiːv	r-i-s-ē-v	ㄖㄧㄙㄧㄈ	接收
assure	əˈʃʊə	ə-sh-ü-ə	ㄦㄕㄡㄦ	保證
hope	həʊp	h-ə-oo-p	ㄏㄦㄡㄅ	希望
anything	ˈɛnɪθɪŋ	é-n-i-th-i-ng	ㄜㄋㄧㄊㄧㄥ	什麼
happens	ˈhæpənz	h-a-p-ə-n-z	ㄏㄚㄅㄣㄗ	發生
honest	ˈɒnɪst	o-n-i-s-t	ㄛㄋㄧㄙㄉ	誠實
difficult	ˈdɪfɪkəlt	d-i-f-i-k-ə-l-t	ㄉㄧㄈㄧㄍㄦㄌㄉ	難
perform	pəˈfɔːm	p-ə-f-ô-m	ㄅㄦㄈㄛㄇ	演出
advice	ədˈvaɪs	ə-d-v-ī-s	ㄦㄉㄈㄚㄧㄙ	忠告
hasn't	ˈhæznt	h-a-z-n-t	ㄏㄚㄗㄋㄉ	有沒有
charm	ʧɑːm	ch-ä-m	ㄓㄚㄇ	魅力
death	dɛθ	d-é-th	ㄉㄜㄊ	死亡
mention	ˈmɛnʃən	m-é-n-sh-ə-n	ㄇㄜㄋㄕㄣ	提到
someone	ˈsʌmwʌn	s-u-m-w-u-n	ㄙㄨㄇㄨㄨㄋ	有人
motivate	ˈməʊtɪveɪt	m-ə-oo-t-i-v-ā-t	ㄇㄦㄡㄉㄧㄈㄝㄧㄉ	刺激
lighten	ˈlaɪtn	l-ī-t-n	ㄌㄚㄧㄉㄋ	減輕
minutes	ˈmɪnɪts	m-i-n-i-t-s	ㄇㄧㄋㄧㄗ	分鐘
alert	əˈlɜːt	ə-l-û-t	ㄦㄌㄦㄉ	警報
heavy	ˈhɛvi	h-é-v-ē	ㄏㄜㄈㄧ	重
fattening	ˈfætnɪŋ	f-a-t-n-i-ng	ㄈㄚㄉㄋㄧㄥ	育肥
extra	ˈɛkstrə	é-k-s-t-r-ə	ㄜㄍㄙㄉㄖㄦ	額外
chop	ʧɒp	ch-o-p	ㄓㄛㄅ	劈
stops	stɒps	s-t-o-p-s	ㄙㄉㄛㄅㄙ	停止
barn	bɑːn	b-ä-n	ㄅㄚㄋ	穀倉
arrive	əˈraɪv	ə-r-ī-v	ㄦㄖㄚㄧㄈ	到達
strange	streɪnʤ	s-t-r-ā-n-y	ㄙㄉㄖㄝㄧㄋㄓ	奇怪
boring	ˈbɔːrɪŋ	b-ô-r-i-ng	ㄅㄛㄖㄧㄥ	無聊
flashed	flæʃt	f-l-a-sh-t	ㄈㄌㄚㄕㄉ	閃現
fat	fæt	f-a-t	ㄈㄚㄉ	脂肪
rations	ˈræʃənz	r-a-sh-ə-n-z	ㄖㄚㄕㄣㄗ	口糧
busy	ˈbɪzi	b-i-z-ē	ㄅㄧㄗㄧ	忙
offense	əˈfɛns	ə-f-é-n-s	ㄦㄈㄜㄋㄙ	罪行
release	rɪˈliːs	r-i-l-ē-s	ㄖㄧㄌㄧㄙ	發布
killing	ˈkɪlɪŋ	k-i-l-i-ng	ㄍㄧㄌㄧㄥ	謀殺
tension's	ˈtɛnʃənz	t-é-n-sh-ə-n-z	ㄉㄜㄋㄕㄣㄗ	緊張的
exercise	ˈɛksəsaɪz	é-k-s-ə-s-ī-z	ㄜㄍㄙㄦㄙㄚㄧㄗ	行使
helper	ˈhɛlpə	h-é-l-p-ə	ㄏㄜㄌㄅㄦ	幫手
sweetheart	ˈswiːthɑːt	s-w-ē-t-h-ä-t	ㄙㄨㄧㄉㄏㄚㄉ	愛人
thrrrust	thrrrust	t-h-r-r-r-ū-s-t	ㄉㄏㄖㄖㄖㄨㄙㄉ	thrrrust
truths	truːðz	t-r-ū-t-h-z	ㄉㄖㄨㄘㄗ	真理
omitted	əˈmɪtɪd	ə-m-i-t-i-d	ㄦㄇㄧㄉㄧㄉ	省略
lied	laɪd	l-ī-d	ㄌㄚㄧㄉ	說謊
sucker	ˈsʌkə	s-u-k-ə	ㄙㄨㄍㄦ	吸盤
business	ˈbɪznɪs	b-i-z-n-i-s	ㄅㄧㄗㄋㄧㄙ	商業
pleasure	ˈplɛʒə	p-l-é-zh-ə	ㄅㄌㄜㄓㄦ	樂趣
posted	ˈpəʊstɪd	p-ə-oo-s-t-i-d	ㄅㄦㄡㄙㄉㄧㄉ	發布
speak	spiːk	s-p-ē-k	ㄙㄅㄧㄍ	說話
brewing	ˈbruːɪŋ	b-r-ū-i-ng	ㄅㄖㄨㄧㄥ	釀造
installment	ɪnˈstɔːlmənt	i-n-s-t-ô-l-m-ə-n-t	ㄧㄋㄙㄉㄛㄌㄇㄣㄉ	分期付款
month	mʌnθ	m-u-n-th	ㄇㄨㄋㄊ	月
bright	braɪt	b-r-ī-t	ㄅㄖㄚㄧㄉ	亮
gone	gɒn	g-o-n	ㄍㄛㄋ	走了
parasites	ˈpærəsaɪts	p-a-r-ə-s-ī-t-s	ㄅㄚㄖㄦㄙㄚㄧㄗ	寄生蟲
light-fingered	ˈlaɪtˌfɪŋgəd	l-ī-t-f-i-ng-g-ə-d	ㄌㄚㄧㄉㄈㄧㄥㄍㄦㄉ	光FINGERED
sneakiest	ˈsniːkɪɪst	s-n-ē-k-i-i-s-t	ㄙㄋㄧㄍㄧㄧㄙㄉ	sneakiest
doubt	daʊt	d-o-w-t	ㄉㄚㄡㄉ	懷疑
each	iːʧ	ē-ch	ㄧㄓ	每
crooks	krʊks	k-r-oo-k-s	ㄍㄖㄡㄍㄙ	騙子
spanish	ˈspænɪʃ	s-p-a-n-i-sh	ㄙㄅㄚㄋㄧㄕ	西班牙語
merchandiso	merchandiso	m-e-r-c-h-a-n-d-ē-s-o	ㄇㄝㄖㄕㄏㄢㄉㄧㄙㄛ	merchandiso
el	ɛl	-é-l	ㄜㄌ	埃爾
norbert	norbert	n-o-r-b-e-r-t	ㄋㄛㄖㄅㄝㄖㄉ	諾伯特
slipped	slɪpt	s-l-i-p-t	ㄙㄌㄧㄅㄉ	下滑
wish	wɪʃ	w-i-sh	ㄨㄧㄕ	希望
piece	piːs	p-ē-s	ㄅㄧㄙ	片
guv'nor	guv'nor	g-ū-v-'-n-o-r	ㄍㄨㄈ'ㄋㄛㄖ	guv'nor
beaut	beaut	b-ea-ū-t	ㄅㄝㄠㄉ	BEAUT
cock-a-doodle-doo	kɒk-ə-ˈduːdl-doo	k-o-k-ə-d-ū-d-l-d-oo	ㄍㄛㄍ-ㄦ-ㄉㄨㄉㄌ-ㄉㄛㄛ	公雞-A-塗鴉鬥
case	keɪs	-k-ā-s	ㄍㄝㄧㄙ	案件
rock's	rɒks	r-o-k-s	ㄖㄛㄍㄙ	岩石的
angel	ˈeɪnʤəl	ā-n-y-ə-l	ㄝㄧㄋㄓㄦㄌ	天使
tight	taɪt	t-ī-t	ㄉㄚㄧㄉ	緊
shell	ʃɛl	sh-é-l	ㄕㄜㄌ	貝殼
flyboy	flyboy	f-l-y-b-oy	ㄈㄌㄩㄅㄛㄩ	flyboy
find	faɪnd	-f-ī-n-d	ㄈㄚㄧㄋㄉ	找
hiding	ˈhaɪdɪŋ	h-ī-d-i-ng	ㄏㄚㄧㄉㄧㄥ	藏
results	rɪˈzʌlts	r-i-z-u-l-t-s	ㄖㄧㄗㄨㄌㄗ	結果
excuse	ɪksˈkjuːs	i-k-s-k-yü-s	ㄧㄍㄙㄍㄡㄨㄙ	藉口
words	wɜːdz	w-û-d-z	ㄨㄦㄉㄗ	話
using	ˈjuːzɪŋ	yü-z-i-ng	ㄡㄨㄗㄧㄥ	運用
swear	sweə	s-w-ã	ㄙㄨㄝㄦ	發誓
geese	giːs	g-ē-s	ㄍㄧㄙ	鵝
key	kiː	k-ē	ㄍㄧ	鍵
figured	ˈfɪgəd	f-i-g-ə-d	ㄈㄧㄍㄦㄉ	想通
lifted	ˈlɪftɪd	l-i-f-t-i-d	ㄌㄧㄈㄉㄧㄉ	取消
running	ˈrʌnɪŋ	r-u-n-i-ng	ㄖㄨㄋㄧㄥ	賽跑
rapidly	ˈræpɪdli	r-a-p-i-d-l-ē	ㄖㄚㄅㄧㄉㄌㄧ	急速
compare	kəmˈpeə	k-ə-m-p-ã	ㄍㄦㄇㄅㄝㄦ	比較
gifted	ˈgɪftɪd	g-i-f-t-i-d	ㄍㄧㄈㄉㄧㄉ	天才
oranges	ˈɒrɪnʤɪz	o-r-i-n-y-i-z	ㄛㄖㄧㄋㄓㄧㄗ	橘子
apples	ˈæplz	a-p-l-z	ㄚㄅㄌㄗ	蘋果
learn	lɜːn	l-û-n	ㄌㄦㄋ	學習
flown	fləʊn	f-l-ə-oo-n	ㄈㄌㄦㄡㄋ	飛行
punch	pʌnʧ	p-u-n-ch	ㄅㄨㄋㄓ	沖床
packs	pæks	p-a-k-s	ㄅㄚㄍㄙ	包
cutest	ˈkjuːtɪst	k-yü-t-i-s-t	ㄍㄡㄨㄉㄧㄙㄉ	可愛
warmer	ˈwɔːmə	w-ô-m-ə	ㄨㄛㄇㄦ	回暖
beak	biːk	b-ē-k	ㄅㄧㄍ	喙
swell	swɛl	s-w-é-l	ㄙㄨㄜㄌ	脹
thoughts	θɔːts	th-ô-t-s	ㄊㄛㄗ	思念
flighty	ˈflaɪti	f-l-ī-t-ē	ㄈㄌㄚㄧㄉㄧ	輕浮
thinking	ˈθɪŋkɪŋ	th-i-ng-k-i-ng	ㄊㄧㄥㄍㄧㄥ	思維
tips	tɪps	t-i-p-s	ㄉㄧㄅㄙ	提示
remember	rɪˈmɛmbə	r-i-m-é-m-b-ə	ㄖㄧㄇㄜㄇㄅㄦ	記得
cocktail	ˈkɒkteɪl	k-o-k-t-ā-l	ㄍㄛㄍㄉㄝㄧㄌ	雞尾酒
fella	ˈfɛlə	f-é-l-ə	ㄈㄜㄌㄦ	小伙子
horse	hɔːs	h-ô-s	ㄏㄛㄙ	馬
says	sɛz	s-é-z	ㄙㄜㄗ	說
pig	pɪg	p-i-g	ㄅㄧㄍ	豬
ticket	ˈtɪkɪt	t-i-k-i-t	ㄉㄧㄍㄧㄉ	票
trusted	ˈtrʌstɪd	t-r-u-s-t-i-d	ㄉㄖㄨㄙㄉㄧㄉ	信任
young	jʌŋ	y-u-ng	ㄡㄨㄥ	年輕
beware	bɪˈweə	b-i-w-ã	ㄅㄧㄨㄝㄦ	謹防
suffice	səˈfaɪs	s-ə-f-ī-s	ㄙㄦㄈㄚㄧㄙ	滿足
simple	ˈsɪmpl	s-i-m-p-l	ㄙㄧㄇㄅㄌ	簡單
nanny	ˈnæni	n-a-n-ē	ㄋㄚㄋㄧ	保姆
being	ˈbiːɪŋ	b-ē-i-ng	ㄅㄧㄧㄥ	存在
nowhere	ˈnəʊweə	n-ə-oo-w-ã	ㄋㄦㄡㄨㄝㄦ	無處
questions	ˈkwɛsʧənz	k-w-é-s-ch-ə-n-z	ㄍㄨㄜㄙㄓㄣㄗ	問題
believe	bɪˈliːv	b-i-l-ē-v	ㄅㄧㄌㄧㄈ	相信
saw	sɔː	s-ô	ㄙㄛ	鋸
calculating	ˈkælkjʊleɪtɪŋ	k-a-l-k-y-oo-l-ā-t-i-ng	ㄍㄚㄌㄍㄡㄡㄌㄝㄧㄉㄧㄥ	計算
doom	duːm	d-ū-m	ㄉㄨㄇ	厄運
voice	vɔɪs	v-o-ē-s	ㄈㄛㄧㄙ	語音
hate	heɪt	h-ā-t	ㄏㄝㄧㄉ	討厭
hay	heɪ	h-ā	ㄏㄝㄧ	乾草
softer	ˈsɒftə	s-o-f-t-ə	ㄙㄛㄈㄉㄦ	柔和
whatever's	wɒtˈɛvəz	w-o-t-é-v-ə-z	ㄨㄛㄉㄜㄈㄦㄗ	任何的
longer	ˈlɒŋgə	l-o-ng-g-ə	ㄌㄛㄥㄍㄦ	長
melisha	melisha	m-e-l-ē-s-h-a	ㄇㄝㄌㄧㄙㄏㄚ	melisha
production	prəˈdʌkʃən	-p-r-ə-d-u-k-sh-ə-n	ㄅㄖㄦㄉㄨㄍㄕㄣ	生產
automated	ˈɔːtəmeɪtɪd	ô-t-ə-m-ā-t-i-d	ㄛㄉㄦㄇㄝㄧㄉㄧㄉ	自動化
full-scale	ˈfʊlˈskeɪl	f-oo-l-s-k-ā-l	ㄈㄡㄌㄙㄍㄝㄧㄌ	全面
ages	ˈeɪʤɪz	ā-y-i-z	ㄝㄧㄓㄧㄗ	年齡
change	ʧeɪnʤ	ch-ā-n-y	ㄓㄝㄧㄋㄓ	更改
nothings	ˈnʌθɪŋz	n-u-th-i-ng-z	ㄋㄨㄊㄧㄥㄗ	空話
fathers	ˈfɑːðəz	f-ä-t-h-ə-z	ㄈㄚㄘㄦㄗ	父親
collection	kəˈlɛkʃən	k-ə-l-é-k-sh-ə-n	ㄍㄦㄌㄜㄍㄕㄣ	採集
petty	ˈpɛti	p-é-t-ē	ㄅㄜㄉㄧ	小氣
wasting	ˈweɪstɪŋ	w-ā-s-t-i-ng	ㄨㄝㄧㄙㄉㄧㄥ	浪費
future	ˈfjuːʧə	f-yü-ch-ə	ㄈㄡㄨㄓㄦ	未來
cheers	ʧɪəz	ch-ē-ə-z	ㄓㄧㄦㄗ	乾杯
within	wɪˈðɪn	w-i-t-h-i-n	ㄨㄧㄘㄧㄋ	中
charge	ʧɑːʤ	ch-ä-y	ㄓㄚㄓ	收費
rest	rɛst	r-é-s-t	ㄖㄜㄙㄉ	休息
immediately	ɪˈmiːdjətli	i-m-ē-d-y-ə-t-l-ē	ㄧㄇㄧㄉㄡㄦㄉㄌㄧ	立即
officer's	ˈɒfɪsəz	o-f-i-s-ə-z	ㄛㄈㄧㄙㄦㄗ	長官
lunatic	ˈluːnətɪk	l-ū-n-ə-t-i-k	ㄌㄨㄋㄦㄉㄧㄍ	瘋子
awarded	əˈwɔːdɪd	ə-w-ô-d-i-d	ㄦㄨㄛㄉㄧㄉ	頒發
